fid,DN,area
"1","325",3615740.18569756
"2","325",10851514.9831543
"3","325",3618603.05328369
"4","335",3621463.94639206
"5","325",3621463.94639397
"6","335",3621463.94639206
"7","325",3622893.65208244
"8","325",3622893.65208244
"9","315",3624322.86362457
"10","325",3625751.58083534
"11","335",217255561.417582
"12","325",3628607.53159142
"13","335",3628607.53159142
"14","315",3630034.76477814
"15","325",54437013.0074768
"16","325",14523429.498703
"17","305",3631461.50292969
"18","335",3632887.74589157
"19","345",3634313.49345779
"20","325",3634313.49345779
"21","325",14538348.4015999
"22","295",3635738.74547577
"23","305",214252199.065132
"24","325",14545804.1921749
"25","335",3637163.50176811
"26","295",18179787.5081844
"27","305",7274326.85247421
"28","295",3637163.5017662
"29","345",112659948.802435
"30","325",58143959.3141937
"31","335",3638587.76214218
"32","335",3638587.76214218
"33","305",10917517.5304871
"34","355",3640011.52644348
"35","335",3640011.52644348
"36","345",3640011.52644157
"37","335",3640011.52644157
"38","325",3640011.52644348
"39","325",29114394.1393433
"40","355",7281446.32092667
"41","345",54553259.9477634
"42","325",21844337.7584
"43","325",10922550.183712
"44","315",3641434.79448318
"45","305",3641434.79448318
"46","355",7284292.36057091
"47","325",25493746.9533234
"48","325",3642857.56609154
"49","305",7285714.98193359
"50","345",29137166.8548393
"51","345",3644279.84108925
"52","325",3644279.84108925
"53","325",3644279.84108734
"54","295",3644279.84108925
"55","285",3644279.84108734
"56","315",567202752.533215
"57","285",10934592.3834305
"58","345",7291403.08877945
"59","345",3645701.61930656
"60","345",3645701.61930656
"61","325",7291403.08877182
"62","305",7291403.08877182
"63","285",3645701.61930656
"64","325",21880930.109787
"65","305",10938857.3711548
"66","335",3647122.9005661
"67","305",3647122.90056419
"68","305",7294245.6515007
"69","295",18235611.5102615
"70","285",3647122.90056801
"71","275",10939615.8889942
"72","355",94774813.3449917
"73","315",43760877.7907333
"74","345",7297087.2199707
"75","345",3648543.68470001
"76","335",3648543.6846981
"77","315",21884251.7510414
"78","305",3648543.68470001
"79","285",14594173.2445297
"80","275",3648543.6846962
"81","285",7297087.2199707
"82","285",3648543.68470001
"83","295",18241628.5238552
"84","295",7298507.65621185
"85","285",7298507.65620804
"86","295",91121288.1919479
"87","345",3649963.97150993
"88","325",47393447.0553284
"89","285",10948139.7976284
"90","305",3649963.97151184
"91","285",3649963.97151184
"92","275",3649963.97151184
"93","305",3649963.97151184
"94","285",3649963.97151184
"95","345",353310587.883068
"96","295",10949891.4170589
"97","345",10951643.3847446
"98","265",10951643.3847427
"99","255",14602695.1664925
"100","265",7301347.73236275
"101","325",3651383.76085281
"102","325",7302767.37269592
"103","355",21904042.004158
"104","305",10954150.6864967
"105","295",3651383.76085091
"106","305",3651383.76085091
"107","275",3651383.76085091
"108","265",3651383.76085091
"109","275",3651383.76085091
"110","355",47467985.0138607
"111","325",21906881.9798775
"112","355",3652803.05253029
"113","345",3652803.0525322
"114","345",10958408.562355
"115","345",3652803.05253029
"116","285",3652803.0525322
"117","265",3652803.0525322
"118","275",14606621.7095165
"119","275",3652803.0525322
"120","355",25562855.0970383
"121","325",43823274.2552757
"122","305",40158118.989254
"123","305",18262927.303236
"124","305",7307024.89891243
"125","295",7307024.89891052
"126","285",18263682.6369095
"127","275",10960159.930542
"128","355",3654221.84638023
"129","335",7308443.54416275
"130","315",3654221.84638023
"131","305",3654221.84637833
"132","305",3654221.84638023
"133","325",1324467924.25859
"134","325",7309861.98859978
"135","355",153181609.431021
"136","345",18272194.6048145
"137","335",3655640.14221954
"138","355",3655640.14222145
"139","295",3655640.14222145
"140","315",262869902.789124
"141","325",7312698.08210564
"142","335",14625395.8676147
"143","305",7312698.08210373
"144","345",3657057.93988609
"145","325",3657057.93988609
"146","335",3657057.93988419
"147","325",14628230.2776031
"148","295",3657057.93988419
"149","305",40226303.7729187
"150","315",98628577.6904831
"151","305",7315533.17907906
"152","355",3658475.23919487
"153","345",3658475.23919487
"154","325",7316950.33040237
"155","325",7316950.33040237
"156","335",3658475.23919487
"157","335",3658475.23919487
"158","285",3658475.23919487
"159","275",3658475.23919487
"160","305",106063017.879541
"161","355",25602570.9590778
"162","335",40242891.638607
"163","325",43899207.2981091
"164","355",3659892.0399704
"165","355",3659892.03996849
"166","345",7319783.93215942
"167","325",3659892.0399704
"168","295",3659892.03996658
"169","315",14639566.6820679
"170","335",21964846.1696854
"171","275",7321200.38201523
"172","355",7322616.5365181
"173","335",3661308.34204483
"174","325",3661308.34204483
"175","345",3661308.34204483
"176","315",3661308.34204483
"177","295",25629150.1302185
"178","285",14645231.8924561
"179","295",3661308.34204483
"180","315",47586502.2360477
"181","335",18305457.6303692
"182","285",18305457.6303711
"183","355",3662724.14524651
"184","335",3662724.14524651
"185","345",3662724.1452446
"186","305",3662724.14524651
"187","305",10986423.4687271
"188","315",10988171.8462715
"189","305",3662724.1452446
"190","305",7325448.14312744
"191","295",14650895.1073303
"192","325",3662724.14524651
"193","265",3662724.14524651
"194","305",10988171.9366856
"195","325",10989920.7563305
"196","305",14650896.0819321
"197","285",14653726.8947563
"198","315",7326863.59463882
"199","345",7328278.75162506
"200","315",3664139.44939423
"201","295",3664139.44939423
"202","305",3664139.44939423
"203","295",7328278.75162506
"204","315",3664139.44939423
"205","305",3664139.44939423
"206","285",3664139.44939423
"207","295",120727285.272038
"208","325",54932694.5007172
"209","275",51278215.6023979
"210","355",7329693.70371246
"211","355",32974089.333662
"212","305",18324859.512085
"213","355",7331108.36168289
"214","345",113473099.295164
"215","325",3665554.25431824
"216","335",3665554.25431824
"217","335",7331108.36167526
"218","325",7331108.36167526
"219","325",3665554.25431824
"220","315",3665554.25431824
"221","315",3665554.25431824
"222","315",3665554.25431824
"223","325",3665554.25431824
"224","295",3665554.25431824
"225","295",18323355.1982803
"226","305",3665554.25431824
"227","295",3665554.25431824
"228","325",102506672.190107
"229","345",10998410.3794441
"230","315",128155059.976089
"231","295",29318851.7061481
"232","355",3666968.55984116
"233","355",3666968.55984116
"234","345",7333936.97293472
"235","355",7333936.97293854
"236","335",3666968.55983734
"237","325",7333936.97293854
"238","325",3666968.55983543
"239","285",3666968.55983734
"240","305",3666968.55983734
"241","315",14665045.3346138
"242","305",3666968.55983734
"243","325",3666968.55983543
"244","295",7333936.97294235
"245","285",3666968.55983734
"246","295",3666968.55983734
"247","265",7333936.97293854
"248","275",3666968.55983734
"249","255",3666968.55983543
"250","325",43991394.4983826
"251","295",11000905.1799412
"252","305",32996725.2128181
"253","355",43980983.3130493
"254","335",7335350.92562485
"255","295",11003399.5402145
"256","295",11003399.5402145
"257","295",11002652.9433937
"258","275",11002652.9433937
"259","355",3668382.36578369
"260","355",3668382.36578369
"261","345",3668382.36578369
"262","345",7336764.58504486
"263","335",3668382.36578751
"264","335",3668382.36578751
"265","325",3668382.36578751
"266","315",3668382.36578751
"267","305",3668382.36578751
"268","315",3668382.36578751
"269","305",7336764.58504486
"270","315",3668382.36578751
"271","305",3668382.36578751
"272","295",3668382.36578751
"273","285",7336764.58504486
"274","295",7336764.58504486
"275","305",3668382.36578751
"276","285",3668382.36578751
"277","315",3668382.36578751
"278","315",47654280.4162674
"279","315",7336764.58504105
"280","295",3668382.36578751
"281","285",3668382.36578751
"282","265",3668382.36578751
"283","255",11005146.5112114
"284","285",18336588.4172287
"285","285",179332028.245588
"286","355",7338178.03778267
"287","345",18345326.1770992
