fid,DN,area
"1","115",3615740.18569756
"2","125",3615740.18569565
"3","135",3617171.86620712
"4","125",3617171.86620712
"5","115",3620033.74673843
"6","115",3621463.94639206
"7","125",7242927.73951721
"8","135",50689873.4712238
"9","135",10866150.1986675
"10","115",7247216.51571083
"11","115",18114466.8129196
"12","115",28992710.1068745
"13","115",3625751.58083725
"14","105",14505862.4636459
"15","125",3627179.80355072
"16","135",10879781.769804
"17","95",3628607.53158951
"18","115",3628607.53158951
"19","125",3628607.53159142
"20","105",3628607.53159142
"21","85",3630034.76477432
"22","95",3630034.76477432
"23","95",3630034.76477814
"24","125",3630034.76477814
"25","135",14521235.4279022
"26","75",3631461.50293159
"27","105",3631461.50292969
"28","95",3632887.74589157
"29","135",3632887.74589157
"30","105",7265775.34011459
"31","95",18164768.1083851
"32","95",7267201.23934746
"33","105",29062663.4458103
"34","135",10901184.5553551
"35","105",43597170.1538601
"36","105",25437011.1438751
"37","95",101640712.248817
"38","85",3635738.74547768
"39","85",83539692.8150005
"40","105",29076048.9351254
"41","85",43624706.9788685
"42","85",3637163.5017662
"43","95",69075742.3766441
"44","95",14548653.5111542
"45","75",10913245.0943794
"46","95",14551934.7455044
"47","95",10913245.0943775
"48","105",3638587.76214218
"49","115",3638587.76214218
"50","85",10917517.530489
"51","85",7280022.90222931
"52","115",3640011.52644348
"53","125",7280022.90223694
"54","95",3640011.52644157
"55","125",798595331.242863
"56","75",3641434.79448509
"57","115",3641434.79448509
"58","105",3641434.79448509
"59","125",3641434.79448318
"60","75",61875485.1702919
"61","115",417845137.095503
"62","105",112757169.963427
"63","115",14565738.6815033
"64","75",3642857.56608582
"65","85",3642857.56608582
"66","95",3642857.56608582
"67","125",3642857.56609154
"68","105",54608808.0151138
"69","75",18218124.8752995
"70","75",7287137.40717888
"71","75",3644279.84108925
"72","95",3644279.84109306
"73","105",14577117.8639832
"74","125",29144145.4688969
"75","115",7288559.53214645
"76","105",7288559.53214645
"77","105",10934592.3834305
"78","105",3645701.61930656
"79","105",14582805.9802704
"80","75",7292824.51987267
"81","115",14585648.7402802
"82","85",7292824.51987457
"83","95",21873118.5226078
"84","95",7294245.6515007
"85","125",3647122.90056419
"86","95",21881646.856987
"87","85",65614890.3518047
"88","85",14590906.3822327
"89","105",7297087.2199707
"90","105",3648543.68470001
"91","105",3648543.68470001
"92","65",3648543.6846962
"93","95",3648543.68470001
"94","105",7297087.2199707
"95","105",3648543.68470001
"96","95",36478330.3393154
"97","95",142149056.17874
"98","95",193245785.36404
"99","85",3649963.97151184
"100","105",3649963.97151184
"101","95",3649963.97151184
"102","95",3649963.97151184
"103","95",65621096.0990696
"104","75",36489362.2469749
"105","125",18253986.1597309
"106","105",10951643.3847427
"107","105",7301347.73236275
"108","125",7301347.73236275
"109","115",7301347.73236275
"110","125",3651383.76085091
"111","115",3651383.76085091
"112","85",3651383.76085091
"113","85",3651383.76085091
"114","75",156773644.374901
"115","125",10955902.4043255
"116","125",7304186.8133831
"117","105",29205720.8192806
"118","95",622590584.63796
"119","125",3652803.0525322
"120","95",7305605.95624924
"121","85",3652803.0525322
"122","95",7305605.95624924
"123","115",3652803.0525322
"124","135",3652803.0525322
"125","125",3652803.0525322
"126","115",3652803.0525322
"127","115",146050982.228382
"128","95",3654221.84638023
"129","115",3654221.84638023
"130","95",3654221.84637833
"131","95",7308443.54415894
"132","115",3654221.84637833
"133","95",3654221.84637833
"134","105",3654221.84638023
"135","115",3654221.84637833
"136","135",3654221.84637833
"137","115",3654221.84638023
"138","115",69404648.9619141
"139","95",32890011.2928677
"140","95",18274941.910326
"141","95",7309861.98859978
"142","125",3655640.14221954
"143","125",3655640.14222145
"144","95",3655640.14222145
"145","105",262529808.521114
"146","95",3655640.14222145
"147","105",3655640.14222145
"148","95",3655640.14222145
"149","85",3655640.14222145
"150","95",7312698.08210564
"151","85",14625395.8676109
"152","115",7314115.73157883
"153","95",7314115.73157883
"154","115",3657057.93988419
"155","105",3657057.93988228
"156","85",3657057.93988419
"157","95",3657057.93988228
"158","105",186426541.676664
"159","75",84051760.9542675
"160","95",7315533.17908096
"161","85",7315533.17907906
"162","85",863660991.269974
"163","105",3658475.23919487
"164","115",7316950.33040619
"165","135",3658475.23919487
"166","95",3658475.23919487
"167","75",3658475.23919678
"168","85",3658475.23919487
"169","105",7316950.33040237
"170","105",3658475.23919678
"171","135",47542080.5652275
"172","85",32930029.5099659
"173","95",3659892.0399704
"174","95",18295960.4169941
"175","105",3659892.0399704
"176","115",25615151.6585178
"177","125",14637152.6046906
"178","135",3659892.03996849
"179","125",10977926.4502621
"180","95",3659892.03996849
"181","105",3659892.0399704
"182","115",3659892.0399704
"183","85",3659892.0399704
"184","95",3659892.03996658
"185","95",3659892.0399704
"186","85",3659892.0399704
"187","105",10979675.5287895
"188","115",84123661.8115425
"189","135",21959350.7990837
