fid,DN,area
"1","35",3625751.58083725
"2","25",7254359.45464325
"3","15",3627179.80355072
"4","35",3628607.53158951
"5","25",3628607.53159142
"6","15",10887579.2460938
"7","35",3630034.76477814
"8","35",7261496.26770782
"9","25",3631461.50292969
"10","35",14525845.5165291
"11","25",7264349.24881935
"12","55",7265775.34011459
"13","15",10898662.6310196
"14","25",3634313.49345779
"15","35",18175077.5691547
"16","55",14545804.192173
"17","55",25461237.495163
"18","35",3638587.76214218
"19","55",14557198.2756691
"20","55",3640011.52644348
"21","35",3640011.52644348
"22","55",14560045.6095104
"23","15",7282869.43852615
"24","55",25480077.707552
"25","55",21847184.7013302
"26","35",3642857.56608963
"27","25",7285714.98194122
"28","55",7287137.40717697
"29","35",3644279.84109306
"30","35",7288559.53214645
"31","35",7288559.53214645
"32","35",14580390.4037113
"33","55",3645701.61930656
"34","25",3647122.9005661
"35","25",3648543.68470001
"36","25",10945630.4563866
"37","25",3648543.6846981
"38","35",3648543.6846981
"39","35",7297087.2199707
"40","35",29188336.9259033
"41","35",3648543.68470001
"42","25",3649963.97151184
"43","55",10949891.3176613
"44","35",10948139.7976341
"45","35",3649963.97151184
"46","25",14599854.3938446
"47","25",18249816.8731689
"48","25",14599855.3885708
"49","25",36495135.0680008
"50","35",3651383.76085281
"51","55",3651383.76085281
"52","25",3651383.76085091
"53","35",3651383.76085091
"54","35",62038110.6272812
"55","15",32867281.7226753
"56","35",142275976.834494
"57","35",14608373.3289452
"58","25",3652803.05253029
"59","25",3652803.0525322
"60","45",3652803.05253029
"61","15",3652803.0525322
"62","25",3652803.05253029
"63","55",3652803.0525322
"64","35",3652803.0525322
"65","45",21912559.4446583
"66","55",47471243.7170677
"67","35",47485861.3895473
"68","25",47460882.2329941
"69","35",7308443.54416275
"70","55",3654221.84638023
"71","45",3654221.84638023
"72","25",7308443.54416275
"73","35",3654221.84638023
"74","35",3654221.84638023
"75","5",7309861.98859978
"76","35",7309861.98859978
"77","25",14619301.9165134
"78","35",29234616.4633808
"79","25",21927590.3246269
"80","35",3655640.14222145
"81","55",21932088.4900131
"82","25",3657057.93988419
"83","35",3657057.93988419
"84","25",25596989.2672405
"85","35",7315533.17908096
"86","25",14631485.3461914
"87","55",3658475.23919487
"88","35",3658475.23919678
"89","35",14633899.4769211
"90","35",3658475.23919678
"91","55",266674635.464396
"92","15",201084735.071695
"93","25",10979675.5287895
"94","55",135235210.027397
"95","55",47540746.9891167
"96","55",3659892.03996849
"97","35",3659892.0399704
"98","25",7319783.93215942
"99","25",3659892.0399704
"100","35",3659892.0399704
"101","35",10981425.1430798
"102","25",21964094.2752743
"103","25",3661308.34204674
"104","35",3661308.34204674
"105","25",3661308.34204483
"106","25",3661308.34204483
"107","35",3661308.34204674
"108","35",21967844.8872147
"109","15",3661308.34204674
"110","25",18309789.3334351
"111","25",10986423.4687271
"112","25",18310038.6118755
"113","25",3662724.14524651
"114","35",3662724.1452446
"115","25",14650895.1073303
"116","35",3662724.1452446
"117","15",58580926.305645
"118","55",7326863.59463882
"119","15",7326863.59464073
"120","25",7326863.59463882
"121","5",3664139.44939423
"122","25",7328278.75162506
"123","45",14653726.8947563
"124","55",3664139.44939232
"125","35",7328278.75162888
"126","55",3664139.44939423
"127","5",3664139.44939423
"128","25",3664139.44939423
"129","25",3664139.44939423
"130","25",51254049.6303024
"131","15",29316194.837244
"132","25",10994166.3169155
"133","55",7329693.70371246
"134","25",7329693.70371246
"135","15",51291036.1645508
"136","25",3665554.25431633
"137","35",10996662.1751442
"138","55",3665554.25431824
"139","35",3665554.25431824
"140","35",3665554.25431824
"141","15",7332522.81415558
"142","25",7332522.81415558
"143","35",14665045.3346138
"144","45",14665458.9730701
"145","45",3666968.55983734
"146","35",11000905.0925407
"147","5",3666968.55983734
"148","25",3666968.55983543
"149","45",3666968.55983734
"150","25",7333936.97293854
"151","35",7333936.97294235
"152","25",3666968.55983543
"153","35",65984861.5470943
"154","55",14670701.5579834
"155","25",7335350.92562485
"156","5",36663612.7110405
"157","35",87951051.3850498
"158","25",7336764.58504486
"159","15",3668382.36578369
