fid,DN,area
"1","65",10854049.4724483
"2","55",10855808.5451775
"3","55",3621463.94639206
"4","65",18101269.6324806
"5","55",3621463.94639397
"6","65",57900384.1106453
"7","55",25344854.3386955
"8","55",76046554.3899288
"9","45",3624322.86362839
"10","45",3624322.86362839
"11","55",10872967.9793968
"12","45",97808029.6118393
"13","35",3625751.58083725
"14","45",32617473.9365788
"15","45",18132272.1178493
"16","35",79786071.6080952
"17","25",39890621.1711693
"18","55",3628607.53159142
"19","35",21764943.7256546
"20","55",7260069.377491
"21","25",18150170.7826004
"22","55",94331583.1466274
"23","55",18152911.7555695
"24","55",7262922.85400009
"25","45",152399375.414017
"26","55",36314611.7213802
"27","35",3632887.74589157
"28","25",3632887.74589157
"29","55",14534296.2284603
"30","15",39978644.6321239
"31","25",3635738.74547768
"32","15",3635738.74547577
"33","15",3635738.74547768
"34","55",21806868.4497089
"35","45",21814431.0276337
"36","15",7274326.85247803
"37","55",10911489.9010696
"38","55",3637163.5017662
"39","15",297964767.903328
"40","45",3638587.76214218
"41","35",3638587.76214218
"42","55",7277175.37343597
"43","45",7277175.37343979
"44","35",7277175.37343979
"45","55",10915762.683033
"46","65",21825702.0746117
"47","15",10915762.7903519
"48","35",7280022.90223694
"49","45",3640011.52644348
"50","35",203404060.070631
"51","45",18196548.0889282
"52","55",3640011.52644348
"53","25",781559249.549105
"54","45",25476900.7362041
"55","35",50957810.9447918
"56","65",7281446.32092667
"57","45",3641434.79448509
"58","55",10924303.7816734
"59","45",7282869.43852615
"60","55",3641434.79448318
"61","65",3641434.79448318
"62","55",7282869.43852234
"63","45",36413383.8000221
"64","25",120116492.281403
"65","35",199982828.410709
"66","35",36409844.8988991
"67","25",3642857.56608582
"68","55",3642857.56608963
"69","55",14571428.7619476
"70","45",10928572.0973053
"71","65",3642857.56608963
"72","65",14569014.0966606
"73","35",25508803.8331127
"74","25",21855721.8276367
"75","55",10931086.0162945
"76","55",10930325.9049683
"77","55",25501093.358799
"78","45",10932838.9231224
"79","45",7288559.53214645
"80","35",10932838.9231224
"81","45",3644279.84109306
"82","55",3644279.84109306
"83","55",3644279.84108925
"84","45",3644279.84109306
"85","35",3644279.84109306
"86","25",3644279.84109306
"87","55",3644279.84108925
"88","45",10931086.0162888
"89","65",10932838.9231224
"90","25",18222489.1050625
"91","45",32791735.5391655
"92","65",10934592.3834286
"93","55",7289981.46039391
"94","45",3645701.61930656
"95","35",7291403.08877945
"96","35",3645701.61930656
"97","55",3645701.61930656
"98","65",10937104.2585793
"99","85",3645701.61930656
"100","35",386029843.595081
"101","55",21871365.015831
"102","65",21872358.7582645
"103","45",3647122.90056419
"104","35",3647122.9005661
"105","15",3647122.90056419
"106","15",3647122.9005661
"107","25",3647122.90056801
"108","65",3647122.90056801
"109","75",3647122.90056419
"110","65",3647122.90056801
"111","55",7294245.65150833
"112","85",3647122.90056419
"113","45",61979044.7795105
"114","15",10941368.2045708
"115","15",145748126.075109
"116","35",29179397.4873676
"117","55",7295666.58526421
"118","35",7297087.2199707
"119","25",3648543.68470001
"120","45",3648543.6846981
"121","15",3648543.68470001
"122","65",3648543.68470001
"123","85",14591427.2311668
"124","55",109445909.514038
"125","15",29186737.2338085
"126","35",3649963.97151184
"127","45",3649963.97150993
"128","25",7299927.79380035
"129","15",3649963.97151184
"130","35",393421065.152031
"131","55",3651383.76085091
"132","25",3651383.76085091
"133","35",7302767.37269211
"134","85",3651383.76085091
"135","65",7302767.37269211
"136","55",3651383.76085091
"137","65",3651383.76085091
"138","35",14608281.6554527
"139","55",7304186.8133831
"140","35",7305605.95624924
"141","55",7305605.95624924
"142","45",724147737.503519
"143","15",47475083.5584965
"144","35",14610124.2507057
"145","75",10960159.9305401
"146","55",109547336.904558
"147","75",3654221.84637833
"148","55",3654221.84637833
"149","45",3654221.84637833
"150","45",14614049.5004139
"151","55",3654221.84638023
"152","65",43816082.2931862
"153","15",65727312.0265293
"154","35",18272194.6048145
"155","55",7311280.1360321
"156","75",7311280.13603592
"157","65",25580328.1817112
"158","55",3655640.14222145
"159","65",3655640.14222145
"160","65",3655640.14222145
"161","75",10968670.5008373
"162","45",401381127.93404
"163","55",3657057.93988419
"164","35",3657057.93988419
"165","25",3657057.93988419
"166","35",3657057.93988228
"167","65",3657057.93988419
"168","55",3657057.93988419
"169","35",36552052.1701851
"170","45",10973675.6971798
"171","25",948234069.196524
"172","85",18289698.6748734
"173","75",3658475.23919487
"174","55",36570258.6735153
"175","45",3658475.23919487
"176","45",3658475.23919487
"177","55",306692850.237122
"178","55",7316950.33040237
"179","75",3658475.23919678
"180","75",7316950.33040237
"181","85",7316950.33040237
"182","65",3658475.23919487
"183","25",32899336.7080612
"184","35",219388386.885214
"185","75",32916265.8707542
"186","85",120571605.96339
"187","45",65814932.9723797
"188","65",3659892.03996849
"189","45",7319783.93215942
"190","45",3659892.03996658
"191","75",660231320.579512
"192","85",3659892.03996658
"193","75",3659892.0399704
"194","75",3659892.0399704
"195","65",7319783.93215942
"196","55",3659892.0399704
"197","65",7321200.38201332
"198","65",460539507.325771
"199","55",3661308.34204674
"200","55",10983924.4358406
"201","45",3661308.34204483
"202","65",3661308.34204674
