fid,DN,area
"1","65",7238636.80002213
"2","65",3621463.94639206
"3","65",7245787.15110779
"4","65",72424748.9309788
"5","75",3624322.86362839
"6","65",3624322.86362457
"7","55",29007851.1355038
"8","75",3625751.58083725
"9","85",3627179.80355263
"10","85",10884065.2963295
"11","75",50748207.884388
"12","85",14517284.288414
"13","45",10890103.7992973
"14","65",3631461.50292969
"15","65",29050700.8026009
"16","85",119798148.204933
"17","85",43575332.2023964
"18","55",90752599.5798283
"19","85",14534402.1755714
"20","75",7267201.23934746
"21","65",7268626.83545685
"22","45",18170471.0984955
"23","65",3635738.74547768
"24","55",3635738.74547768
"25","45",43604192.3358822
"26","75",7274326.85247803
"27","55",3637163.5017662
"28","45",177959317.046408
"29","75",7275751.26390839
"30","75",316238688.450125
"31","65",7278599.28858566
"32","55",3640011.52644157
"33","65",3640011.52644348
"34","65",72783340.898489
"35","55",7282869.43852997
"36","65",3641434.79448509
"37","65",3641434.79448318
"38","75",947374448.503023
"39","65",134662831.747665
"40","45",3642857.56608582
"41","45",3642857.56608963
"42","65",363825876.665279
"43","65",7287137.40718079
"44","65",14574274.5140762
"45","45",3644279.84108925
"46","45",3644279.84108734
"47","35",3645701.61930656
"48","45",51032806.7973671
"49","55",7294245.6515007
"50","35",7294245.65150833
"51","65",636644600.252674
"52","55",80229874.308918
"53","35",3648543.68470001
"54","45",7297087.2199707
"55","45",3649963.97151184
"56","35",36499449.6518745
"57","45",14599855.3885746
"58","35",3651383.76085281
"59","45",3651383.76085281
"60","45",3651383.76085091
"61","25",18256918.1575871
"62","55",276954503.102785
"63","55",3652803.0525322
"64","35",3652803.0525322
"65","55",3654221.84638023
"66","55",3654221.84638023
"67","35",3654221.84637833
"68","55",29244339.7922573
"69","55",7309861.98859978
"70","35",7309861.98859978
"71","55",7309861.98860168
"72","45",3655640.14221954
"73","55",51169025.5065708
"74","55",3658475.23919487
"75","55",3658475.23919487
"76","55",3658475.23919678
"77","45",3658475.23919487
"78","25",3658475.23919678
"79","35",10977926.4502621
"80","25",3659892.03996658
"81","35",3659892.0399704
"82","25",14639567.6611767
"83","45",10981425.1430779
"84","55",3661308.34204674
"85","55",10982175.7076149
"86","25",7322616.5365181
"87","25",7322616.5365181
"88","55",3662724.14524651
"89","25",14648481.1389637
"90","25",84235214.0667572
"91","45",18312537.2928486
"92","35",18313620.2271786
"93","45",3664139.44939423
"94","25",3664139.44939423
"95","45",3665554.25431824
"96","55",3665554.25431824
"97","25",3666968.55983734
"98","15",7333936.97293854
"99","15",3666968.55983543
"100","85",7336764.58504486
"101","65",3668382.36578751
"102","25",3668382.36578751
"103","35",3668382.36578751
"104","45",347668746.757946
"105","45",3669795.67199898
"106","55",3669795.67199898
"107","65",7342416.81044388
"108","35",14687658.2334671
"109","85",3672620.78447533
"110","45",3672620.78447533
"111","35",3672620.78447533
"112","35",3672620.78447533
"113","25",3672620.78447151
"114","25",14687658.2334747
"115","15",3672620.78447151
"116","15",3672620.78447151
"117","85",3674032.59039879
"118","45",3674032.59039879
"119","15",7349476.48627853
"120","55",7349476.48627853
"121","75",7350887.64627457
"122","35",11026331.1056671
"123","35",3675443.89587975
"124","15",3675443.89587975
"125","15",3675443.89587975
"126","15",3675443.89587975
"127","35",124899773.820459
"128","45",18375398.790844
"129","85",91821179.9257355
"130","25",3676854.70075417
"131","35",3676854.70075417
"132","35",3676854.70075417
"133","15",3676854.70075417
"134","15",3676854.70075417
"135","35",3676854.70075417
"136","15",3676854.70075417
"137","25",3676854.70075417
"138","65",14707418.3022194
"139","15",132204013.958284
"140","35",3678265.00483322
"141","25",3678265.00483322
"142","15",3678265.00483322
"143","25",11033049.9393005
"144","35",7357939.81280136
"145","25",33087381.8396244
"146","35",11037279.7047844
"147","35",88208550.0318089
"148","15",3679674.80796814
"149","15",3679674.80796623
"150","15",14721517.5463219
"151","55",25761349.341713
"152","35",3681084.10995674
"153","45",3681084.10995674
"154","55",3681084.10995483
"155","45",3681084.10995483
"156","35",3681084.10995674
"157","15",7362168.07526398
"158","35",7362168.07525635
"159","45",7362168.07526398
"160","45",3681084.10995483
"161","15",44161062.5545597
"162","25",18406493.6440849
"163","35",7363577.02060318
"164","45",3682492.91064835
"165","55",3682492.91064644
"166","45",3682492.91064835
"167","35",3682492.91064835
"168","15",3682492.91064835
"169","35",11047478.1541519
"170","35",3682492.91064835
"171","35",110312729.600889
"172","45",29443773.3488617
"173","65",7364985.67684174
"174","45",14729971.1411057
"175","45",7366394.12050056
"176","35",7366394.12050247
"177","55",227927340.020763
"178","55",3683901.20985413
"179","35",3683901.20985413
"180","45",3683901.20985413
"181","35",3683901.20985413
"182","35",3683901.20985413
"183","45",11051703.0526314
"184","45",7369210.21726799
"185","45",3685309.00741386
"186","35",3685309.00741196
"187","35",7370617.87081146
"188","25",172936354.732796
"189","35",3685309.00741386
"190","45",7370617.87081146
"191","65",3685309.00741386
"192","65",14738821.6080246
"193","35",3685309.00741386
"194","45",77332871.1272945
"195","65",3686716.30315018
"196","45",3686716.30314827
"197","55",3686716.30314827
"198","45",7373432.46248627
"199","15",3686716.30315018
"200","25",3686716.30314827
"201","35",3686716.30315018
"202","45",14744049.6173
"203","45",22118086.9496174
"204","45",11061891.1965256
"205","25",7374839.40003395
"206","15",11061891.1965218
"207","55",11061891.1965237
"208","55",7374839.40003395
"209","65",7374839.40003395
"210","85",3688123.09688568
"211","55",14749742.4707546
"212","35",3688123.09688568
"213","45",3688123.09688568
"214","15",7376246.0501709
"215","35",3688123.09688568
"216","45",62656876.5897274
"217","25",573771517.965933
"218","35",7377652.48534966
"219","65",14755304.683712
"220","35",51595055.3117428
"221","25",11066111.219389
"222","45",25813710.660265
"223","45",3689529.38846397
"224","45",3689529.38846588
"225","35",3689529.38846588
"226","45",36876272.5560741
"227","25",3689529.38846588
"228","35",3689529.38846588
"229","35",7379058.63352966
"230","15",140105043.796011
"231","35",47951828.0037918
"232","35",14760928.845726
"233","85",11071063.6765003
"234","85",3690935.17768669
"235","25",7381870.21219635
"236","25",3690935.17768288
"237","25",3690935.17768288
"238","45",11072804.9603424
"239","45",3690935.17768288
"240","45",3690935.17768288
"241","35",7381870.21219635
"242","25",3690935.17768288
"243","45",3690935.17768288
"244","25",11071063.6765041
"245","35",3690935.17768288
"246","35",11072804.9603424
"247","55",40593255.4255676
"248","15",386695980.177425
"249","25",7383275.64208984
"250","45",7383275.64209175
"251","45",11074546.7439327
"252","45",3692340.46440887
"253","45",3692340.46440887
"254","35",3692340.46440887
"255","45",3692340.46440887
"256","25",14764809.2846584
"257","55",59029644.0707169
"258","45",11077020.8905258
"259","25",73805433.1556416
"260","25",22158255.9956436
"261","45",7386085.71284294
"262","35",11079494.6082287
"263","35",7386085.71284294
"264","25",14771774.700695
"265","65",7386085.71284294
"266","25",3693745.24843407
"267","55",3693745.24843407
"268","35",3693745.24843407
"269","55",3693745.24843407
"270","45",3693745.24843407
"271","45",3693745.24843407
"272","65",3693745.24843407
"273","35",3693745.24843407
"274","25",3693745.24843407
"275","35",3693745.24843407
"276","45",3693745.24843407
"277","35",40624508.2286034
"278","55",18466924.2303047
"279","25",11082976.2367802
"280","55",7388894.77804375
"281","65",11083707.8120537
"282","25",88546201.0356407
"283","35",7388894.77804375
"284","45",7388894.77804375
"285","45",11082976.2367802
"286","25",25854811.1664429
"287","35",11082976.2367859
"288","45",59092436.6476746
"289","65",18472879.6457329
"290","65",11083707.8120537
"291","35",3695149.52960968
"292","25",3695149.52960968
"293","35",3695149.52960968
"294","35",3695149.52960968
"295","45",3695149.52960968
"296","35",3695149.52960777
"297","75",7390298.91667557
"298","45",3695149.52960777
"299","45",3695149.52960777
"300","55",3695149.52960968
"301","45",3695149.52960777
"302","15",3695149.52960968
"303","25",3695149.52960777
"304","45",3695149.52960777
"305","25",3695149.52960968
"306","35",14777789.2707901
"307","15",7390298.91666794
"308","35",3695149.52960968
"309","45",3695149.52960777
"310","55",3695149.52960777
"311","65",3695149.52960968
"312","35",84941351.75103
"313","25",59096437.6093407
"314","55",51720219.5933628
"315","55",36941266.8088455
"316","35",11085448.0857944
"317","95",7391702.83736038
"318","25",7391702.83736038
"319","35",7391702.83736038
"320","35",3696553.3077507
"321","55",3696553.3077507
"322","65",3696553.3077507
"323","55",3696553.30775261
"324","45",3696553.3077507
"325","35",3696553.30775261
"326","35",3696553.30775261
"327","15",3696553.3077507
"328","35",3696553.3077507
"329","45",3696553.3077507
"330","55",3696553.30775261
"331","35",3696553.3077507
"332","45",22170895.743969
"333","45",3696553.3077507
"334","75",3696553.3077507
"335","55",3696553.30775261
"336","35",14783799.3967381
"337","35",3696553.30775261
"338","25",18478332.8768539
"339","45",7393106.47317505
"340","15",3696553.30775261
"341","25",133000787.196594
"342","75",632967160.924105
"343","45",25874468.7305851
"344","35",11089659.4200497
"345","85",40654392.7852325
"346","85",3697956.58268929
"347","25",7395913.02326202
"348","55",3697956.58268929
"349","65",3697956.58268929
"350","75",3697956.58268929
"351","65",3697956.58268929
"352","55",11093869.1796036
"353","45",3697956.58268929
"354","25",3697956.58268929
