fid,DN,area
"1","45",3624322.86362839
"2","55",7251503.0090065
"3","35",10879781.7698059
"4","35",7254359.45464325
"5","55",322443236.38335
"6","55",87072294.3050232
"7","55",14520138.5640755
"8","25",14522992.2314949
"9","45",3631461.50292969
"10","35",65395814.0335045
"11","55",43613855.0858421
"12","35",3638587.76214218
"13","25",14554350.5524921
"14","15",316406079.639776
"15","65",3641434.79448318
"16","35",65563159.3477325
"17","55",7287137.40718079
"18","15",14574372.1614208
"19","35",98329601.9707508
"20","15",7291403.08877945
"21","45",3645701.61930656
"22","35",7291403.08877945
"23","55",14582804.9788895
"24","15",156758251.091944
"25","45",61927474.5639458
"26","25",3647122.9005661
"27","45",3647122.90056419
"28","55",3647122.90056801
"29","45",3647122.90056801
"30","45",10939615.8889961
"31","35",43718878.8108749
"32","55",7295666.58526421
"33","75",14591332.8714714
"34","75",10943120.8676395
"35","45",3648543.6846981
"36","45",3648543.6846981
"37","65",7297087.2199707
"38","55",3648543.68470001
"39","65",51071269.7785339
"40","35",18246127.3013382
"41","55",18246407.9932632
"42","65",10948139.7976341
"43","45",10949891.3176613
"44","55",3649963.97150993
"45","45",3649963.97150993
"46","55",7299927.79380035
"47","45",3649963.97150993
"48","35",7299927.79380035
"49","45",3649963.97151184
"50","55",18245412.9506378
"51","65",3649963.97151184
"52","55",10948139.7976322
"53","25",14602270.5687885
"54","45",1519003563.24928
"55","45",3651383.76085281
"56","55",3651383.76085281
"57","65",3651383.76085091
"58","65",3651383.76085281
"59","45",7302767.37269592
"60","45",3651383.76085281
"61","45",3651383.76085091
"62","55",3651383.76085281
"63","65",3651383.76085091
"64","55",3651383.76085091
"65","65",3651383.76085091
"66","75",7302767.37269211
"67","65",3651383.76085091
"68","65",3651383.76085091
"69","75",3651383.76085091
"70","55",284290824.313789
"71","55",25554006.1734657
"72","75",10955902.4043255
"73","75",10955902.4043255
"74","45",25563701.5129185
"75","85",21912799.4051056
"76","65",25553674.3433743
"77","35",3652803.0525322
"78","55",3652803.05253029
"79","45",3652803.0525322
"80","65",3652803.0525322
"81","35",43815844.2285938
"82","45",7305605.95624924
"83","65",7305605.95624924
"84","45",3652803.0525322
"85","55",3652803.05253029
"86","55",3652803.0525322
"87","65",7305605.95624924
"88","45",3652803.0525322
"89","45",3652803.0525322
"90","55",3652803.0525322
"91","75",7305605.95625305
"92","65",3652803.0525322
"93","85",3652803.0525322
"94","55",3652803.0525322
"95","55",3652803.0525322
"96","65",21916816.873106
"97","65",10960914.4687786
"98","35",3654221.84638023
"99","45",3654221.84637833
"100","55",3654221.84637833
"101","55",3654221.84637833
"102","25",18267274.5172215
"103","45",7308443.54416275
"104","55",3654221.84638023
"105","65",3654221.84638023
"106","55",7308443.54416275
"107","45",3654221.84638023
"108","45",3654221.84638023
"109","55",3654221.84637833
"110","95",29224200.7752457
"111","35",138689932.954247
"112","85",18270776.4573803
"113","35",10964415.9628944
"114","25",25576381.4181995
"115","65",18274366.5476665
"116","75",10964415.9628887
"117","35",7311280.1360321
"118","65",3655640.14222145
"119","75",10966919.8330727
"120","55",3655640.14221954
"121","45",3655640.14222145
"122","45",3655640.14221954
"123","35",3655640.14222145
"124","45",3655640.14222145
"125","75",3655640.14222145
"126","85",25579750.5920048
"127","45",25589057.6419048
"128","25",54843361.1772385
"129","55",32882650.1354351
"130","65",10966919.928484
"131","45",43855152.7671642
"132","25",7312698.08210564
"133","25",10968670.5008354
"134","25",3657057.93988609
"135","45",3657057.93988419
"136","65",3657057.93988609
"137","45",3657057.93988419
"138","55",3657057.93988609
"139","65",3657057.93988419
"140","55",3657057.93988609
"141","35",14628230.2776031
"142","25",18281456.0881596
"143","45",7314115.73157883
"144","25",3657057.93988419
"145","45",7314115.73157883
"146","65",80362398.8547077
"147","55",3657057.93988228
"148","35",3657057.93988228
"149","55",3657057.93988419
"150","55",10971173.3213005
"151","75",14629315.8394012
"152","65",7315533.17908096
"153","45",7315533.17908096
"154","75",7315533.17907906
"155","85",14631066.0619812
"156","65",14630646.1854115
"157","65",7315533.17907906
"158","35",7316950.33040237
"159","35",3658475.23919487
"160","45",3658475.23919487
"161","35",7316950.33040619
"162","45",7316950.33040619
"163","55",3658475.23919487
"164","45",3658475.23919487
"165","65",3658475.23919487
"166","75",3658475.23919487
"167","45",3658475.23919678
"168","55",3658475.23919487
"169","65",3658475.23919487
"170","55",3658475.23919678
"171","45",3658475.23919678
"172","65",3658475.23919487
"173","75",7316950.33040237
"174","45",3658475.23919678
"175","65",3658475.23919487
"176","65",3658475.23919487
"177","35",113244566.51881
"178","55",14636734.2625618
"179","45",7318367.27916527
"180","55",7318367.27916527
"181","75",10977175.091465
"182","85",14636734.2625618
"183","55",7319783.93215942
"184","55",3659892.03996849
"185","35",3659892.03996849
"186","55",3659892.0399704
"187","45",3659892.03996849
"188","45",7319783.93215942
"189","65",3659892.03996849
"190","55",3659892.0399704
