fid,DN,area
"1","175",3617171.86620712
"2","155",3621463.94639206
"3","155",3624322.86362457
"4","155",21745931.8313904
"5","155",10877254.1318474
"6","155",14503004.796669
"7","155",10881538.8007927
"8","165",7260069.377491
"9","165",3630034.76477814
"10","145",3631461.50292969
"11","165",3631461.50292969
"12","155",3631461.50292969
"13","145",7265775.34011459
"14","145",7265775.34011459
"15","165",3632887.74589157
"16","165",3632887.74588966
"17","165",50859328.302597
"18","165",3635738.74547768
"19","175",363208039.403769
"20","155",54521389.4538574
"21","165",7275751.26391029
"22","165",7277175.37343979
"23","165",3638587.76214218
"24","165",7280022.90222931
"25","155",3640011.52644157
"26","175",40046938.5913563
"27","155",3641434.79448318
"28","165",3644279.84108925
"29","175",3644279.84108925
"30","155",120021717.524149
"31","185",3645701.61930656
"32","135",10939615.8889961
"33","135",14587401.0558548
"34","135",18234523.9564228
"35","135",14588491.105135
"36","175",14591758.7626095
"37","125",7295666.58526421
"38","135",7298507.65621185
"39","155",7299927.79380035
"40","155",3649963.97151184
"41","145",3649963.97151184
"42","175",3649963.97151184
"43","145",222476400.00268
"44","135",10952399.5141125
"45","165",7302767.37269592
"46","145",3651383.76085091
"47","175",7302767.37269211
"48","155",51080360.9008999
"49","165",18255073.6213207
"50","175",10955902.4043255
"51","185",14608373.3289394
"52","145",7305605.95624924
"53","135",7305605.95625305
"54","185",3652803.0525322
"55","165",3652803.0525322
"56","155",3652803.0525322
"57","155",3652803.0525322
"58","135",65724808.06353
"59","155",7307024.89891052
"60","155",14614139.4855881
"61","175",3654221.84637833
"62","175",14614139.4855881
"63","155",3654221.84638023
"64","185",65777588.3700485
"65","165",7309861.98860168
"66","135",3655640.14222145
"67","145",7311280.13603592
"68","135",3655640.14222145
"69","185",80378431.0028763
"70","145",14622560.0707054
"71","125",84098258.2207851
"72","145",62125290.7169743
"73","155",14624975.0477123
"74","175",3657057.93988609
"75","155",3657057.93988419
"76","135",18285286.7355804
"77","155",3657057.93988419
"78","175",10971173.2268791
"79","145",3657057.93988228
"80","155",3657057.93988419
"81","155",3657057.93988419
"82","155",14628231.2611847
"83","145",7315533.17907906
"84","155",3658475.23919487
"85","185",7316950.33040619
"86","205",3658475.23919487
"87","125",3658475.23919487
"88","165",25602915.5983124
"89","165",3658475.23919487
"90","165",3658475.23919487
"91","155",32918767.1019669
"92","175",7318367.27916527
"93","175",21954853.4069118
"94","145",7318367.27916527
"95","175",36580916.7487812
"96","205",3659892.03996849
"97","195",21955100.6544342
"98","155",3659892.0399704
"99","125",3659892.0399704
"100","145",3659892.0399704
"101","135",14639566.6820679
"102","155",21952685.7837753
"103","165",1544378078.09208
"104","145",3659892.0399704
"105","155",3659892.0399704
"106","135",29278715.7975826
"107","135",223016642.124319
"108","145",14640650.9468079
"109","185",47571022.0924225
"110","165",47556335.0449352
"111","175",7322616.5365181
"112","175",7322616.5365181
"113","195",3661308.34204483
"114","175",3661308.34204674
"115","165",3661308.34204483
"116","165",3661308.34204483
"117","155",3661308.34204483
"118","155",7322616.5365181
"119","145",3661308.34204483
"120","135",3661308.34204483
"121","115",21967844.8872147
"122","135",3661308.34204483
"123","145",3661308.34204674
"124","155",3661308.34204483
"125","165",65850532.0262337
"126","155",2589391722.77251
"127","165",10983924.5272579
"128","135",10985673.6982117
"129","135",7324032.48729134
"130","165",18306874.0802231
"131","165",3662724.14524651
"132","175",7325448.14312744
"133","125",7325448.14312744
"134","135",3662724.14524651
"135","145",3662724.1452446
"136","145",3662724.14524651
"137","155",3662724.1452446
"138","125",14648064.6796455
"139","145",3662724.14524651
"140","135",10988171.8462715
"141","135",3662724.1452446
"142","115",3662724.14524651
"143","125",3662724.1452446
"144","145",3662724.14524651
"145","175",3662724.1452446
"146","165",3662724.14524651
"147","155",10986423.4687309
"148","185",84156560.1943607
"149","125",40278134.9134655
"150","145",7326863.59464073
"151","155",7326863.59464073
"152","135",7326863.59463882
"153","125",43947270.7010536
"154","155",3664139.44939423
"155","175",10990669.7330608
"156","175",7328278.75162506
"157","135",7328278.75162888
"158","125",3664139.44939423
"159","165",3664139.44939423
"160","155",3664139.44939423
"161","135",3664139.44939423
"162","115",3664139.44939423
"163","145",7328278.75162506
"164","155",7328278.75162888
"165","145",7328278.75162888
"166","115",3664139.44939423
"167","125",3664139.44939423
"168","145",3664139.44939423
"169","165",3664139.44939423
"170","155",3664139.44939423
"171","145",3664139.44939423
"172","155",29306369.5052433
"173","145",21982338.253603
"174","145",7329693.70371246
"175","165",25650804.5884762
"176","185",14659387.1133022
"177","145",3665554.25431824
"178","155",7331108.36167526
"179","145",3665554.25431824
"180","135",3665554.25431824
"181","145",1594149833.08525
"182","155",3665554.25431824
"183","165",7331108.36167526
"184","145",7331108.36167526
"185","135",3665554.25431824
"186","125",3665554.25431824
"187","135",3665554.25431824
"188","165",3665554.25431824
"189","155",3665554.25431824
"190","165",3665554.25431824
"191","175",3665554.25431824
"192","165",3665554.25431824
"193","155",3665554.25431824
"194","135",3665554.25431824
"195","145",7331108.36167526
"196","125",3665554.25431824
"197","115",7331108.36167526
"198","135",7331108.36167526
"199","155",3665554.25431824
"200","185",3665554.25431824
"201","135",109833713.954014
"202","165",40313686.7294693
"203","155",21991079.0060635
"204","165",10996662.2635498
"205","165",21992324.5057602
"206","155",7332522.81415558
"207","175",10998410.3794441
"208","175",11000905.0925407
"209","185",3666968.55984116
"210","145",3666968.55983734
"211","165",7333936.97293854
"212","155",3666968.55983734
"213","145",7333936.97293854
"214","155",3666968.55983543
"215","155",3666968.55983734
"216","135",7333936.97293854
"217","125",3666968.55983734
"218","185",3666968.55983734
"219","175",3666968.55983734
"220","145",3666968.55983734
"221","165",3666968.55983543
"222","145",3666968.55983543
"223","145",3666968.55983543
"224","165",7333936.97293854
"225","175",3666968.55983734
"226","185",3666968.55983734
"227","175",3666968.55983543
"228","145",18332013.1891727
"229","175",40311518.4858322
"230","155",14666792.7452316
"231","145",11003399.5402145
"232","175",14670621.8770123
"233","165",7335350.92562485
"234","175",3668382.36578369
"235","135",3668382.36578751
"236","155",3668382.36578751
"237","165",3668382.36578751
"238","155",3668382.36578751
"239","145",3668382.36578751
"240","165",3668382.36578751
"241","155",7336764.58504486
"242","145",3668382.36578751
"243","165",3668382.36578751
"244","175",3668382.36578751
"245","165",3668382.36578751
"246","165",3668382.36578751
"247","135",3668382.36578751
"248","135",7336764.58504486
"249","135",7336764.58504486
"250","165",3668382.36578751
"251","165",3668382.36578751
"252","145",7336764.58504486
"253","165",3668382.36578751
"254","175",3668382.36578751
"255","165",7336764.58504486
"256","155",3668382.36578751
"257","175",3668382.36578751
"258","175",3668382.36578751
"259","155",117289888.252161
"260","165",40347506.8391705
"261","165",11006894.0082378
"262","145",7338178.03778648
"263","105",7338178.03778648
"264","185",22011707.0011959
"265","185",3669795.67199898
"266","195",3669795.67199898
"267","165",14679181.2247009
"268","175",3669795.67199898
"269","165",3669795.67199898
"270","145",3669795.67199898
"271","145",7339591.19765854
"272","145",11007639.8122501
"273","125",3669795.67199898
"274","175",3669795.67199898
"275","175",18342990.737875
"276","165",3669795.67199898
"277","125",3669795.67199898
"278","135",3669795.67199898
"279","165",3669795.67199898
"280","155",7339591.19765854
"281","145",3669795.67199898
"282","135",3669795.67199898
"283","155",3669795.67199898
"284","145",3669795.67199898
"285","125",3669795.67199898
"286","155",3669795.67199898
"287","185",113640559.242706
"288","125",25688568.2651463
"289","185",22019774.6393604
"290","165",25685820.3076954
"291","135",69714394.5689888
"292","185",11011133.573473
"293","145",18352393.0882797
"294","165",7341004.15027809
"295","175",3671208.47827911
"296","175",3671208.47827911
"297","185",3671208.47827721
"298","175",3671208.47827721
"299","185",7342416.81044388
"300","115",3671208.47827911
"301","145",3671208.47827721
"302","135",7342416.81044388
"303","125",3671208.47827721
"304","115",3671208.47827721
"305","125",7342416.81044388
"306","175",14682418.8297348
"307","165",3671208.47827721
"308","145",3671208.47827721
"309","125",3671208.47827721
"310","145",18352471.0362053
"311","125",7342416.81044388
"312","175",3671208.47827721
"313","165",7342416.81044388
"314","155",14682084.9321995
"315","175",3671208.47827721
"316","185",3671208.47827721
"317","175",7342416.81044388
"318","215",7342416.81044388
"319","205",3671208.47827721
"320","195",3671208.47827911
"321","135",69715805.1953812
"322","125",14687581.809454
"323","125",11015371.6385632
"324","175",7343829.26274872
"325","155",7343829.26274872
"326","135",11015371.6385612
"327","175",11015371.6385632
"328","185",3672620.78447533
"329","165",51388438.7499466
"330","165",33041511.309679
"331","185",3672620.7844696
"332","175",7345241.42303085
"333","135",11017861.7697639
"334","145",7345241.42303085
"335","115",3672620.7844696
"336","125",3672620.78447151
"337","145",3672620.7844696
"338","135",22030969.0455837
"339","175",3672620.7844696
"340","155",3672620.78447151
"341","135",3672620.78447151
"342","145",3672620.78447151
"343","165",7345241.42303085
"344","145",3672620.78447151
"345","175",3672620.7844696
"346","175",18363101.0041199
"347","125",11016115.8576527
"348","145",3672620.78447151
"349","215",3672620.78447151
"350","195",7345241.42301941
"351","185",3672620.7844696
"352","165",22037135.7208672
"353","155",432027241.0089
"354","155",22034645.6519794
"355","155",11017861.8531475
"356","135",33045111.6382446
"357","165",11019608.2029953
"358","115",36696531.4172325
"359","115",7346653.37486839
"360","135",7346653.3748703
"361","195",11019608.2029858
"362","165",7346653.3748703
"363","145",7346653.3748703
"364","155",14692896.9288864
"365","165",3674032.59039688
"366","155",3674032.59039688
"367","165",7348065.0350914
"368","155",3674032.59039879
"369","165",3674032.59039879
"370","155",3674032.59039879
"371","135",3674032.59039879
"372","155",18370160.0379257
"373","145",3674032.59039879
"374","185",33055814.7996044
"375","175",3674032.59039879
"376","145",3674032.59039879
"377","125",3674032.59039879
"378","135",3674032.59039879
"379","165",3674032.59039879
"380","175",3674032.59039879
"381","185",11020351.6299992
"382","135",3674032.59039879
"383","155",3674032.59039879
"384","115",7348065.03509903
"385","135",3674032.59039879
"386","145",3674032.59039879
"387","135",3674032.59039879
"388","185",3674032.59039879
"389","195",3674032.59039879
"390","195",3674032.59039879
"391","165",3674032.59039879
"392","165",25705852.2751179
"393","135",18364848.1248417
"394","165",11022097.27075
"395","145",11022097.27075
"396","145",14695052.0988674
"397","195",22039959.1238956
"398","175",11023843.2662392
"399","185",14698952.6813583
"400","165",11023843.2662392
"401","165",36740249.1260929
"402","185",22048428.2940521
"403","165",7349476.48627472
"404","165",7349476.48627853
"405","175",7349476.48627853
"406","155",7349476.48627853
"407","165",3675443.89587784
"408","155",3675443.89587784
"409","165",3675443.89587784
"410","175",3675443.89587975
"411","195",3675443.89587784
"412","155",3675443.89587784
"413","175",7350887.64626694
"414","155",3675443.89587975
"415","175",7350887.64627457
"416","165",3675443.89587975
"417","135",3675443.89587975
"418","125",3675443.89587975
"419","125",3675443.89587975
"420","165",14698952.6813717
"421","175",7350887.64627457
"422","135",3675443.89587975
"423","175",3675443.89587975
"424","145",7350887.64627457
"425","175",3675443.89587975
"426","165",3675443.89587975
"427","145",11024585.9013996
"428","165",3675443.89587975
"429","135",3675443.89587975
"430","145",11024585.9014053
"431","125",25716660.8143692
"432","145",3675443.89587975
"433","155",3675443.89587975
"434","185",3675443.89587975
"435","185",3675443.89587975
"436","155",3675443.89587975
"437","145",47748635.0105476
"438","135",11026331.1870327
"439","165",18375398.790844
"440","155",18376141.8628788
"441","105",14700697.9669895
"442","205",40421748.2103043
"443","165",44084820.3141518
"444","165",14704596.9024887
"445","175",14704189.2487335
"446","115",11028076.8277817
"447","165",7352298.59663391
"448","155",7352298.59663391
"449","165",7352298.59663391
"450","185",11028076.8277817
"451","175",3676854.70075226
"452","185",7353709.25621796
"453","185",14704669.4939327
"454","175",150576113.090101
"455","165",7353709.25621796
"456","165",3676854.70075226
"457","175",3676854.70075226
"458","185",3676854.70075417
"459","195",3676854.70075417
"460","165",3676854.70075417
"461","165",3676854.70075417
"462","145",3676854.70075417
"463","185",7353709.25621414
"464","145",3676854.70075417
"465","145",3676854.70075417
"466","135",3676854.70075417
"467","125",3676854.70075417
"468","135",7353709.25621414
"469","145",3676854.70075417
"470","165",14704596.9024868
"471","175",3676854.70075417
"472","185",3676854.70075417
"473","125",3676854.70075417
"474","155",3676854.70075417
"475","155",3676854.70075417
"476","165",3676854.70075417
"477","175",7353709.25621414
"478","185",3676854.70075417
"479","165",3676854.70075417
"480","155",3676854.70075417
"481","145",18384270.5980682
"482","135",7353709.25621414
"483","145",3676854.70075417
"484","155",7353709.25621414
"485","165",3676854.70075417
"486","185",3676854.70075417
"487","175",3676854.70075417
"488","175",66151112.795599
"489","185",18388097.2638779
"490","165",1560946216.92752
"491","175",7355119.70558739
"492","175",7355119.70558739
"493","175",11033049.9393005
"494","195",11032308.8870945
"495","175",11032308.8870945
"496","125",139494809.287931
"497","155",11032308.8870945
"498","195",14710167.0301609
"499","205",11032308.8871002
"500","215",18384273.0029755
"501","165",36769213.4490833
"502","175",7356529.86460114
"503","165",3678265.00483513
"504","175",3678265.00483322
"505","165",3678265.00483322
"506","155",3678265.00483322
"507","145",3678265.00483322
"508","165",3678265.00483322
"509","175",3678265.00483322
"510","165",3678265.00483322
"511","175",3678265.00483322
"512","165",3678265.00483322
"513","145",3678265.00483322
"514","135",3678265.00483322
"515","145",3678265.00483322
"516","155",3678265.00483322
"517","165",22062203.0914001
"518","135",3678265.00483322
"519","155",3678265.00483322
"520","185",3678265.00483322
"521","185",77189660.1576481
"522","175",3678265.00483322
"523","185",3678265.00483322
"524","175",3678265.00483322
"525","145",3678265.00483322
"526","155",3678265.00483322
"527","155",3678265.00483322
"528","145",3678265.00483322
"529","145",3678265.00483322
"530","175",7356529.86459732
"531","165",11034794.4342003
"532","145",3678265.00483322
"533","185",3678265.00483322
"534","195",3678265.00483322
"535","205",3678265.00483322
"536","205",3678265.00483322
"537","185",3678265.00483322
"538","175",3678265.00483322
"539","165",3678265.00483322
"540","175",18387093.1101894
"541","175",18392399.4103661
"542","185",44129444.2672234
"543","135",18391323.5870399
"544","185",7357939.81280136
"545","155",7357939.81279945
"546","135",7357939.81280136
"547","125",11036539.4436798
"548","165",14715879.335659
"549","125",7357939.81280136
"550","145",7357939.81280136
"551","165",7357939.81279945
"552","205",29425783.8304253
"553","175",25748928.8397312
"554","155",3679674.80796623
"555","165",3679674.80796623
"556","175",3679674.80796814
"557","175",3679674.80796623
"558","165",3679674.80796814
"559","165",3679674.80796814
"560","165",3679674.80796814
"561","155",3679674.80796814
"562","185",3679674.80796814
"563","155",3679674.80796814
"564","135",3679674.80796623
"565","145",3679674.80796814
"566","155",7359349.47106552
"567","135",3679674.80796814
"568","165",3679674.80796623
"569","195",33099482.9414673
"570","185",3679674.80796814
"571","175",3679674.80796623
"572","165",11039023.8444366
"573","155",3679674.80796814
"574","165",3679674.80796814
"575","175",3679674.80796623
"576","165",3679674.80796814
"577","125",3679674.80796814
"578","145",3679674.80796814
"579","135",7359349.47106552
"580","155",3679674.80796814
"581","165",25753756.2687225
"582","185",3679674.80796814
"583","175",11039023.8444366
"584","155",3679674.80796623
"585","175",7359349.47106552
"586","185",3679674.80796623
"587","195",3679674.80796814
"588","185",3679674.80796814
"589","195",7359349.47106552
"590","185",3679674.80796814
"591","185",3679674.80796814
"592","155",18391322.5193901
"593","145",117411472.384954
"594","155",110278736.048666
"595","115",25752083.4411449
"596","175",14717623.5536366
"597","225",14718698.7307243
"598","185",69892922.5314846
"599","155",77215339.4756813
"600","145",18398373.393816
"601","175",7360758.91792297
"602","165",7360758.91792297
"603","185",22083545.1864777
"604","195",18399447.7800426
"605","115",22076973.0247021
"606","125",18402000.3052368
"607","175",25758056.9900093
"608","165",11040768.4970112
"609","185",18401861.7516899
"610","175",3681084.10995865
"611","145",14721586.8952541
"612","185",14719772.9720726
"613","195",7362168.07526016
"614","175",3681084.10995483
"615","165",3681084.10995674
"616","175",3681084.10995483
"617","175",3681084.10995483
"618","195",3681084.10995483
"619","175",3681084.10995674
"620","145",3681084.10995483
"621","165",3681084.10995483
"622","125",3681084.10995483
"623","135",3681084.10995674
"624","165",3681084.10995483
"625","155",3681084.10995483
"626","175",36785128.2795734
"627","175",18399447.7800446
"628","185",3681084.10995483
"629","175",3681084.10995483
"630","165",3681084.10995674
"631","175",11043251.7512589
"632","185",3681084.10995483
"633","165",7362168.07526398
"634","135",7362168.07525635
"635","125",11043251.7512589
"636","135",7362168.07526398
"637","125",11041507.9672413
"638","135",3681084.10995483
"639","125",3681084.10995483
"640","135",7362168.07526398
"641","155",3681084.10995483
"642","185",7362168.07526398
"643","175",3681084.10995483
"644","185",3681084.10995674
"645","195",3681084.10995483
"646","185",3681084.10995483
"647","215",58837051.8919773
"648","205",3681084.10995483
"649","195",3681084.10995483
"650","195",3681084.10995483
"651","205",3681084.10995483
"652","195",29441959.4921608
"653","175",14725409.5341301
"654","155",7363577.02060318
"655","165",11045734.72616
"656","165",18408306.1314831
"657","155",11045734.726162
"658","145",7363577.02060318
"659","145",11044996.0465469
"660","195",7363577.02060318
"661","205",7363577.02060318
"662","205",7363577.02060318
"663","175",18409577.8151321
"664","175",3682492.91064453
"665","195",3682492.91064453
"666","165",3682492.91064835
"667","165",3682492.91064835
"668","185",3682492.91064644
"669","175",3682492.91064835
"670","185",3682492.91064835
"671","125",3682492.91064835
"672","115",3682492.91064644
"673","145",3682492.91064835
"674","185",3682492.91064835
"675","175",3682492.91064835
"676","185",3682492.91064644
"677","175",3682492.91064835
"678","165",3682492.91064835
"679","145",3682492.91064644
"680","155",3682492.91064835
"681","165",3682492.91064835
"682","155",7364985.67684174
"683","145",7364985.67684174
"684","125",3682492.91064835
"685","125",3682492.91064835
"686","135",7364985.67684174
"687","145",3682492.91064835
"688","135",3682492.91064835
"689","125",3682492.91064644
"690","135",11047478.1541519
"691","145",3682492.91064835
"692","155",7364985.67684174
"693","135",3682492.91064835
"694","165",3682492.91064644
"695","185",3682492.91064835
"696","175",3682492.91064835
"697","205",3682492.91064835
"698","205",7364985.67684555
"699","185",11047478.1541519
"700","165",3682492.91064835
"701","195",3682492.91064644
"702","215",3682492.91064835
"703","175",22085092.8512287
"704","185",22086502.1532192
"705","175",14728897.256403
"706","175",11049222.0917912
"707","165",40497961.6596355
"708","185",11049222.0917912
"709","185",7366394.12050247
"710","185",7366394.12050247
"711","195",7366394.12050247
"712","205",7366394.12050247
"713","185",33153429.2085724
"714","175",7366394.12050247
"715","165",7366394.12050247
"716","185",7366394.12050247
"717","195",7366394.12050056
"718","205",7366394.12050247
"719","155",33138479.8452911
"720","165",14735603.3970795
"721","175",3683901.20985413
"722","185",3683901.20985413
"723","185",11051703.0526314
"724","175",3683901.20985413
"725","185",33134984.619997
"726","175",3683901.20985413
"727","135",3683901.20985413
"728","105",3683901.20985413
"729","135",3683901.20985413
"730","175",3683901.20985413
"731","185",18415683.114193
"732","165",3683901.20985413
"733","155",7367802.27547455
"734","125",3683901.20985413
"735","115",11051703.0526314
"736","135",3683901.20985413
"737","145",3683901.20985413
"738","165",3683901.20985413
"739","155",3683901.20985413
"740","145",3683901.20985413
"741","165",7367802.27547073
"742","175",7367802.27547455
"743","165",3683901.20985413
"744","155",3683901.20985413
"745","165",3683901.20985413
"746","185",3683901.20985413
"747","185",3683901.20985413
"748","155",3683901.20985413
"749","215",99406097.2920914
"750","195",3683901.20985413
"751","205",3683901.20985413
"752","195",3683901.20985413
"753","205",3683901.20985413
"754","195",3683901.20985413
"755","185",7367802.27547073
"756","165",3683901.20985413
"757","175",3683901.20985413
"758","195",11051703.0526314
"759","215",3683901.20985413
"760","115",36829083.3627567
"761","175",22104814.2667866
"762","165",7369210.21726799
"763","105",11053446.6322117
"764","155",7369210.21726608
"765","165",18416688.4477253
"766","185",3685309.00741196
"767","175",3685309.00741196
"768","205",3685309.00741196
"769","185",7370617.87081146
"770","175",11055926.4461479
"771","165",3685309.00741386
"772","175",3685309.00741196
"773","165",3685309.00741386
"774","155",3685309.00741196
"775","185",3685309.00741196
"776","145",3685309.00741386
"777","165",3685309.00741386
"778","175",3685309.00741386
"779","185",3685309.00741196
"780","185",3685309.00741386
"781","175",3685309.00741386
"782","165",7370617.87081146
"783","145",3685309.00741386
"784","135",11055926.4461479
"785","115",14738420.1462822
"786","105",3685309.00741386
"787","125",3685309.00741386
"788","135",3685309.00741196
"789","145",3685309.00741386
"790","125",3685309.00741386
"791","115",3685309.00741386
"792","125",3685309.00741386
"793","175",3685309.00741386
"794","165",3685309.00741386
"795","185",3685309.00741386
"796","175",3685309.00741196
"797","165",3685309.00741386
"798","185",3685309.00741386
"799","185",3685309.00741386
"800","155",3685309.00741386
"801","175",7370617.87081146
"802","185",3685309.00741386
"803","175",3685309.00741196
"804","185",14741234.5894089
"805","175",3685309.00741386
"806","165",7370617.87081146
"807","185",3685309.00741386
"808","205",14741234.5894165
"809","225",3685309.00741386
"810","145",18422320.6409168
"811","185",22111853.3986359
"812","195",14743984.7226887
"813","125",11057669.6673012
"814","155",11057669.6673012
