fid,DN,area
"1","75",7232912.05190277
"2","35",3617171.86620712
"3","45",10853274.9785042
"4","65",7235774.91949081
"5","85",14468686.9713993
"6","75",3618603.05328369
"7","55",3618603.05328369
"8","45",3618603.05328369
"9","35",3618603.05328369
"10","55",3620033.74673843
"11","75",7240067.34000015
"12","55",3620033.74673843
"13","35",3621463.94639206
"14","55",7242927.73951721
"15","35",14482995.0795174
"16","25",28959048.2577381
"17","35",47074619.2927494
"18","15",28982917.43503
"19","25",10870438.9748669
"20","25",39849534.5587997
"21","25",3624322.86362457
"22","15",3624322.86362457
"23","45",3624322.86362839
"24","15",86952637.197607
"25","15",14499706.899271
"26","35",18125129.2144375
"27","35",10875496.7596264
"28","45",3625751.58083534
"29","35",3625751.58083725
"30","15",7251503.0090065
"31","15",3625751.58083534
"32","35",3625751.58083534
"33","35",3625751.58083534
"34","25",7251503.00900269
"35","45",3625751.58083534
"36","35",3625751.58083725
"37","25",18132054.0127621
"38","25",18132601.3835239
"39","45",14505862.4636459
"40","55",7252931.38438606
"41","35",3627179.80355072
"42","35",3627179.80355072
"43","35",3627179.80355072
"44","45",3627179.80355263
"45","45",3627179.80355263
"46","35",3627179.80355072
"47","45",3627179.80355263
"48","35",3627179.80355072
"49","25",3627179.80355072
"50","15",3627179.80355263
"51","5",3627179.80355072
"52","35",7255787.33514214
"53","25",39893705.5493069
"54","25",7255787.33514214
"55","25",3628607.53159142
"56","35",7257214.91091156
"57","35",3628607.53158951
"58","45",7257214.910923
"59","15",3628607.53158951
"60","45",3628607.53159142
"61","55",3628607.53158951
"62","35",7257214.91091156
"63","25",3628607.53159142
"64","15",3628607.53159142
"65","5",3628607.53158951
"66","25",14517722.5064411
"67","25",3630034.76477814
"68","45",7260069.37749481
"69","35",3630034.76477814
"70","45",10888347.3386822
"71","35",3630034.76477814
"72","45",3630034.76477814
"73","55",3630034.76477814
"74","45",3630034.76477814
"75","25",7260069.37749481
"76","45",43549655.5599041
"77","25",3631461.50292969
"78","45",3631461.50292969
"79","45",3631461.50292969
"80","45",3631461.50292969
"81","35",3631461.50292969
"82","35",14523099.7762375
"83","45",10894383.9013481
"84","55",14526941.7334976
"85","35",18157306.068676
"86","35",10898662.6310158
"87","45",3632887.74589157
"88","35",3632887.74589157
"89","45",3632887.74589157
"90","35",3632887.74588966
"91","65",3632887.74589157
"92","55",10900418.8595638
"93","45",7267201.23934746
"94","25",3634313.49345589
"95","15",101649071.59708
"96","45",3634313.49345779
"97","45",3634313.49345779
"98","25",3634313.49345779
"99","65",3634313.49345589
"100","55",69007967.7312565
"101","45",10902939.9848232
"102","45",32700265.35812
"103","25",83531715.9070625
"104","65",14539669.1523819
"105","55",10905460.6557064
"106","45",14540104.1751556
"107","55",3635738.74547768
"108","25",3635738.74547577
"109","45",3635738.74547768
"110","25",3635738.74547768
"111","45",3635738.74547768
"112","55",3635738.74547577
"113","65",39965158.2025814
"114","15",58148241.7871532
"115","35",47242454.4928207
"116","55",43619133.4469318
"117","35",69061835.3563938
"118","45",25450169.7731075
