fid,DN,area
"1","65",3615740.18569756
"2","55",3617171.86620712
"3","55",3621463.94639206
"4","45",7242927.73951721
"5","65",83258769.6406326
"6","55",47059443.1268253
"7","35",3622893.65208244
"8","45",7245787.15110779
"9","25",10868680.4621048
"10","35",21737360.4649982
"11","45",57936361.465229
"12","65",3624322.86362457
"13","55",7248645.57438278
"14","45",14497289.925827
"15","25",10871210.2663288
"16","25",3624322.86362839
"17","45",3625751.58083534
"18","45",3625751.58083534
"19","45",3627179.80355072
"20","45",3627179.80355072
"21","35",39887545.3244705
"22","35",61610278.3638783
"23","65",7257214.91091156
"24","55",10885821.9857063
"25","25",3628607.53158951
"26","35",18136996.6807213
"27","45",3628607.53159142
"28","55",170502649.621761
"29","45",7258642.29636765
"30","65",3630034.76477432
"31","65",3630034.76477814
"32","55",3630034.76477432
"33","55",3630034.76477432
"34","45",10890103.6860809
"35","45",3630034.76477814
"36","25",7260069.377491
"37","45",14519040.7490234
"38","65",14522992.2314949
"39","65",7262922.85400391
"40","75",3631461.50293159
"41","55",3631461.50292969
"42","55",32666462.6541233
"43","45",18157304.4774094
"44","35",10894383.9013481
"45","45",10894383.9013481
"46","35",3631461.50292969
"47","65",3632887.74589157
"48","45",14531549.4669495
"49","35",3632887.74589157
"50","35",3632887.74588966
"51","35",3632887.74588966
"52","55",3632887.74588966
"53","35",7267201.23934746
"54","15",3634313.49345589
"55","15",3634313.49345589
"56","55",3634313.49345589
"57","35",243263018.344328
"58","75",90838929.260807
"59","25",40008345.8468838
"60","45",304898542.755896
"61","15",3635738.74547768
"62","65",69036676.612606
"63","55",58171358.1177254
"64","25",3635738.74547768
"65","35",3635738.74547768
"66","35",7271477.33969879
"67","35",3637163.50176811
"68","65",25450456.2507229
"69","55",3637163.50176811
"70","45",7274326.85247803
"71","55",10911489.9010696
"72","25",7274326.85247421
"73","35",7274326.85247803
"74","45",7274326.85247421
"75","55",3637163.5017662
"76","25",7274326.85247421
"77","35",14548652.496521
"78","45",3637163.5017662
"79","55",47267673.6360645
"80","35",7275751.26390839
"81","45",90902417.0653553
"82","25",10915762.683033
"83","45",3638587.76214218
"84","55",10915762.683033
"85","45",3638587.76214218
"86","25",7277175.37343979
"87","35",7277175.37343979
"88","55",10915762.683033
