fid,DN,area
"1","65",7231480.21731186
"2","75",3617171.86620903
"3","65",7234343.57855988
"4","85",3617171.86620903
"5","85",3617171.86620712
"6","85",3618603.05328369
"7","65",3618603.05328369
"8","75",3618603.05328369
"9","85",3618603.05328369
"10","85",3620033.74673843
"11","95",3620033.74673843
"12","75",61531540.4903507
"13","105",3621463.94639206
"14","85",3621463.94639397
"15","95",7242927.73951721
"16","105",18100167.2856922
"17","95",3621463.94639206
"18","105",3621463.94639397
"19","115",7242927.73951721
"20","125",3621463.94639397
"21","85",28971179.5039234
"22","95",36207814.8367958
"23","85",3622893.65208244
"24","75",3622893.65208435
"25","105",14491574.1141872
"26","105",14494319.0481663
"27","105",3624322.86362457
"28","115",3624322.86362839
"29","95",3624322.86362457
"30","105",3624322.86362839
"31","95",7248645.57437897
"32","95",3624322.86362839
"33","115",3624322.86362839
"34","105",3624322.86362457
"35","105",3624322.86362457
"36","125",7248645.57437897
"37","105",21745935.7344837
"38","95",21746707.0259514
"39","115",3625751.58083534
"40","95",3625751.58083725
"41","105",7251503.0090065
"42","95",18128754.8508377
"43","105",3625751.58083534
"44","115",25382893.1701565
"45","115",47138705.0862141
"46","105",10879781.769804
"47","85",10879781.769804
"48","105",3627179.80355263
"49","105",7254359.45464325
"50","95",7254359.45463562
"51","85",10881538.8007927
"52","75",7254359.45464325
"53","95",50770402.2249241
"54","95",7255787.33514214
"55","85",3628607.53159142
"56","105",3628607.53159142
"57","115",3628607.53158951
"58","115",3628607.53158951
"59","105",14514428.603714
"60","95",3628607.53159142
"61","85",7257214.91091156
"62","115",10885821.9857063
"63","135",3628607.53158951
"64","105",7258642.29636955
"65","125",3630034.76477432
"66","115",3630034.76477814
"67","105",14520137.5384674
"68","115",3630034.76477814
"69","105",3630034.76477814
"70","115",3630034.76477814
"71","105",43537013.9453602
"72","105",36282777.1498241
"73","135",14522992.2314949
"74","115",21784929.5104561
"75","125",3631461.50293159
"76","125",3631461.50292969
"77","115",3631461.50292969
"78","115",7262922.85400009
"79","125",3631461.50292969
"80","105",3631461.50292969
"81","105",7262922.85399628
"82","125",3631461.50292969
"83","125",7264349.24882126
"84","95",7264349.24882126
"85","105",36304736.2177525
"86","125",21793046.5323677
"87","125",3632887.74589157
"88","125",14531549.4669418
"89","125",7265775.34011841
"90","125",7265775.34011459
"91","115",3632887.74589157
"92","135",7265775.34011841
"93","85",3632887.74589157
"94","95",7265775.34011459
"95","135",3632887.74589157
"96","125",3632887.74588966
"97","105",32682928.000452
"98","125",36326682.7808914
"99","115",14531550.4881706
"100","125",58110393.8953304
"101","105",7267201.23934746
"102","105",10901184.5553551
"103","105",18167949.5184708
"104","115",3634313.49345207
"105","125",3634313.49345207
"106","115",65346756.1685467
"107","85",3634313.49345589
"108","115",105329563.361021
"109","115",87180284.7757969
"110","125",137942914.430262
"111","115",3635738.74547768
"112","115",7271477.33970642
"113","105",3635738.74547768
"114","105",3635738.74547768
"115","95",94427908.2562485
"116","105",3635738.74547768
"117","105",3635738.74547768
"118","115",3635738.74547577
"119","115",79942054.8046169
"120","125",76321661.6004181
"121","115",54521492.7309322
"122","105",7272902.24724197
"123","145",3637163.5017662
"124","105",3637163.5017662
"125","105",3637163.5017662
"126","115",21817156.8777809
"127","105",7274326.85247421
"128","95",3637163.5017662
"129","105",3637163.5017662
"130","95",7274326.85247421
"131","105",3637163.5017662
"132","105",29087782.988699
"133","105",39993452.7561245
"134","105",58160409.6105347
"135","95",14551069.1025066
"136","95",7275751.26390839
"137","95",7275751.26390839
"138","105",18189530.1631947
"139","125",3638587.76214218
"140","135",3638587.76214218
"141","125",36372623.6091347
"142","115",3638587.76214218
"143","105",3638587.76214218
"144","115",21824277.4693794
"145","115",3638587.76214218
"146","95",3638587.76214218
"147","85",3638587.76214218
"148","75",3638587.76214218
"149","85",3638587.76214218
"150","75",7277175.37343979
"151","135",214551605.093639
"152","135",7278599.28858566
"153","85",54584349.1226387
"154","75",10918280.0337677
"155","85",7278599.28858376
"156","115",3640011.52644157
"157","125",7280022.90222931
"158","115",7280022.90222931
"159","105",3640011.52644157
"160","125",3640011.52644348
"161","115",3640011.52644348
"162","85",3640011.52644157
"163","95",3640011.52644348
"164","85",3640011.52644157
"165","75",7280022.90222931
"166","105",10920033.9767265
"167","115",3640011.52644348
"168","105",3640011.52644157
"169","95",3640011.52644157
"170","95",7280022.90223694
"171","85",7280022.90223694
"172","75",10918280.0337677
"173","115",3641434.79448318
"174","135",3641434.79448318
"175","115",3641434.79448509
"176","105",10924303.7816734
"177","85",3641434.79448318
"178","95",10924303.7816734
"179","85",3641434.79448318
"180","105",3641434.79448318
"181","95",3641434.79448318
"182","75",10924303.7816734
"183","95",3641434.79448509
"184","115",109145546.231585
"185","115",170911300.486328
"186","105",18211011.5587349
"187","95",69162064.5290146
"188","75",10926057.9363136
"189","105",10926818.8447189
"190","115",14568485.0745926
"191","75",10926057.9363136
"192","85",10926057.9363194
"193","115",10928572.0973053
"194","105",3642857.56608582
"195","95",3642857.56609154
"196","75",3642857.56609154
"197","85",3642857.56609154
"198","105",3642857.56609154
"199","125",225651593.611355
"200","105",21852876.0886822
"201","95",18212433.9839764
"202","75",10928572.2016621
"203","135",214593867.876673
"204","75",7287137.40717697
"205","95",14574703.2433662
"206","95",29139682.2638836
"207","105",76445585.0214233
"208","125",3644279.84108925
"209","115",10932838.9231224
"210","115",10932838.9231224
"211","115",10932838.9231224
"212","105",10932838.9231224
"213","85",3644279.84108925
"214","95",3644279.84108925
"215","115",3644279.84108925
"216","105",54637128.595583
"217","75",3644279.84108925
"218","85",3644279.84108734
"219","115",10931086.0162888
"220","95",3644279.84108925
"221","85",3644279.84108734
"222","105",69196344.7627945
"223","105",192820027.844252
"224","85",36429994.6559811
"225","75",7289981.46039581
"226","85",61917618.6207447
"227","115",3645701.61930656
"228","115",29154566.6698971
"229","115",3645701.61930656
"230","95",3645701.61930656
"231","85",3645701.61930656
"232","95",10935351.6978817
"233","65",3645701.61930656
"234","85",3645701.61930656
"235","115",112913355.257278
"236","105",76482387.3805828
"237","95",7292824.51987267
"238","105",10939615.8889942
"239","115",7292824.51987267
"240","105",25521331.8199806
"241","115",3647122.9005661
"242","105",3647122.90056419
"243","115",3647122.9005661
"244","115",3647122.90056419
"245","85",25518346.6960411
"246","85",7294245.65150833
"247","85",3647122.90056419
"248","85",3647122.90056419
"249","95",7294245.65150833
"250","75",3647122.90056419
"251","95",3647122.90056801
"252","125",298697274.481363
"253","105",43741772.1763153
"254","85",102049768.105062
"255","85",18234523.956419
"256","95",7295666.58526421
"257","95",222141209.13376
"258","75",7295666.58526421
"259","55",7295666.58526421
"260","65",10943120.8676434
"261","85",14590906.3822327
"262","75",7295666.58526421
"263","105",10945630.4563866
"264","95",14594173.2445297
"265","115",3648543.6846981
"266","115",3648543.6846981
"267","125",3648543.6846981
"268","115",7297087.2199707
"269","105",3648543.68470001
"270","75",3648543.68470001
"271","85",3648543.6846962
"272","75",29170964.7575741
"273","95",7297087.2199707
"274","95",7297087.2199707
"275","105",29185978.1658516
"276","75",36485576.4214573
"277","115",43766885.9379673
"278","75",10947382.8723526
"279","85",10948139.7976341
"280","105",7299927.79380035
"281","95",14599854.3938599
"282","85",7299927.79380035
"283","75",3649963.97150993
"284","85",3649963.97151184
"285","95",3649963.97150993
"286","115",3649963.97150993
"287","85",3649963.97150993
"288","95",7299927.79380035
"289","75",3649963.97151184
"290","85",3649963.97151184
"291","85",3649963.97151184
"292","95",47417850.2768383
"293","95",21891260.6652813
"294","75",3649963.97151184
"295","85",21893956.4859085
"296","95",91174456.2524033
"297","85",3649963.97151184
"298","75",3649963.97151184
"299","95",3649963.97151184
"300","85",3649963.97151184
"301","95",3649963.97151184
"302","85",7299927.79380417
"303","75",3649963.97151184
"304","85",10948139.7976284
"305","65",109322761.483545
"306","85",76606955.4854412
"307","75",21898268.8837547
"308","65",18250907.1703205
"309","115",25547475.033699
"310","105",32850761.5641766
"311","105",102140315.197123
"312","115",7301347.73236275
"313","75",21905608.3864326
"314","65",29191093.3022461
"315","105",7301347.73236275
"316","95",7302767.37269592
"317","75",7302767.37269592
"318","65",3651383.76085281
"319","85",3651383.76085281
"320","65",3651383.76085281
"321","75",3651383.76085091
"322","85",3651383.76085281
"323","95",36496646.9804287
"324","75",3651383.76085281
"325","85",3651383.76085091
"326","105",7302767.37269211
"327","105",14605533.5532455
"328","95",7302767.37269211
"329","85",3651383.76085091
"330","65",7302767.37269211
"331","95",3651383.76085091
"332","115",10954150.6864967
"333","95",3651383.76085091
"334","85",3651383.76085091
"335","95",3651383.76085091
"336","105",62031668.0306301
"337","75",51105499.2275944
"338","95",18255830.1981258
"339","95",18260511.9768276
"340","95",83905119.0227776
"341","95",7304186.8133831
"342","75",69338962.1308899
"343","75",7304186.8133831
"344","85",3652803.0525322
"345","65",3652803.05253029
"346","75",3652803.05253029
"347","105",25560622.4241085
"348","95",3652803.05253029
"349","85",3652803.05253029
"350","75",3652803.0525322
"351","85",3652803.0525322
"352","115",18264012.2864685
"353","105",3652803.0525322
"354","95",3652803.0525322
"355","75",3652803.0525322
"356","55",3652803.0525322
"357","95",3652803.0525322
"358","115",3652803.0525322
"359","105",3652803.0525322
"360","85",3652803.0525322
"361","95",3652803.0525322
"362","85",73033099.0523605
"363","75",18264013.8205776
"364","95",36525945.5354958
"365","55",7307024.89891052
"366","65",7307024.89891052
"367","75",7307024.89891052
"368","65",7307024.89891052
"369","85",18267274.5172195
"370","75",7307024.89891052
"371","65",18267696.1844559
"372","95",3654221.84638023
"373","105",83937973.9317875
"374","95",3654221.84638023
"375","95",3654221.84637833
"376","85",3654221.84638023
"377","75",7308443.54416275
"378","65",18267696.1844501
"379","85",7308443.54416275
"380","65",7308443.54415894
"381","105",7308443.54416275
"382","105",18271106.259819
"383","115",3654221.84637833
"384","105",7308443.54416275
"385","95",3654221.84637833
"386","85",3654221.84637833
"387","105",3654221.84638023
"388","115",3654221.84637833
"389","125",29228096.6215115
"390","115",3654221.84638023
"391","85",3654221.84637833
"392","95",3654221.84637833
"393","115",3654221.84638023
"394","105",18271108.5852985
"395","75",21925329.6364479
"396","65",14616886.8875103
"397","95",10964415.9628887
"398","75",7309861.98860168
"399","95",3655640.14222145
"400","85",3655640.14221954
"401","75",3655640.14221954
"402","75",3655640.14221954
"403","65",3655640.14221954
"404","75",3655640.14222145
"405","85",7311280.13603592
"406","65",18278197.7431259
"407","55",3655640.14221954
"408","65",3655640.14222145
"409","85",47480848.3182964
"410","85",3655640.14222145
"411","95",7311280.13603592
"412","85",3655640.14222145
"413","105",3655640.14222145
"414","115",7311280.13603592
"415","115",3655640.14222145
"416","125",3655640.14222145
"417","105",3655640.14222145
"418","65",14621473.9027729
"419","95",40216447.42383
"420","55",7312698.08210564
"421","75",14624975.0477123
"422","95",10968670.5008373
"423","115",7312698.08210564
"424","95",3657057.93988609
"425","75",7314115.73157883
"426","85",3657057.93988609
"427","85",10971173.2268791
"428","115",3657057.93988609
"429","105",3657057.93988228
"430","85",7314115.73157883
"431","95",3657057.93988228
"432","75",3657057.93988419
"433","85",7314115.73157883
"434","75",10971173.2268791
"435","105",7314115.73157883
"436","95",3657057.93988419
"437","95",3657057.93988228
"438","95",7314115.73157883
"439","85",3657057.93988419
"440","85",3657057.93988419
"441","95",3657057.93988419
"442","105",3657057.93988228
"443","95",3657057.93988419
"444","95",51165105.0348434
"445","75",36552717.2216167
"446","85",135225472.198563
