fid,DN,area
"1","85",7232912.05190277
"2","65",14485854.2528915
"3","85",36220796.7360039
"4","75",3625751.58083725
"5","55",54377150.8391418
"6","95",18132054.0127621
"7","85",7254359.45464325
"8","85",21763077.3745632
"9","105",3628607.53159142
"10","85",7257214.91091156
"11","95",3628607.53158951
"12","95",21764064.028801
"13","95",3630034.76477432
"14","105",7260069.37749481
"15","95",3630034.76477814
"16","95",14522992.2314911
"17","85",10891860.60289
"18","85",7262922.85400391
"19","95",3631461.50292969
"20","85",3631461.50292969
"21","95",18157636.7419243
"22","85",14528591.1445694
"23","105",3632887.74589157
"24","85",65353130.9959679
"25","105",10900418.8595638
"26","85",3634313.49345207
"27","95",25438661.9608459
"28","85",3635738.74547768
"29","65",76324621.3591557
"30","95",21812675.254076
"31","115",14542954.4861774
"32","75",32737979.7451954
"33","105",14548653.5111542
"34","55",18189656.7138023
"35","55",3638587.76214218
"36","95",3638587.76214218
"37","85",72705008.9628143
"38","75",613194665.166576
"39","55",32741590.2299862
"40","95",7280022.90222931
"41","75",40031248.1854553
"42","75",3642857.56608582
"43","65",105558463.529865
"44","95",43703002.4920788
"45","95",10928572.2016621
"46","55",47355782.1956348
"47","105",309003011.61651
"48","55",3644279.84108925
"49","65",3644279.84109306
"50","75",3644279.84108734
"51","45",3644279.84108925
"52","75",14577118.8675766
"53","75",3645701.61930656
"54","75",40078539.9817905
"55","95",10937104.36096
"56","65",3647122.90056419
"57","85",116561408.683743
"58","65",3648543.68470001
"59","95",10943878.5890923
"60","75",3648543.68470001
"61","95",229371632.854757
"62","85",138460499.811611
"63","75",21892349.9181652
"64","95",3649963.97150993
"65","75",3649963.97151184
"66","95",374634817.143007
"67","55",7301347.73236275
"68","45",10951643.3847427
"69","85",3651383.76085281
"70","45",3651383.76085091
"71","65",21901533.6572475
"72","65",69325152.6282291
"73","65",10955902.4043236
"74","45",3652803.0525322
"75","55",3652803.0525322
"76","75",3652803.0525322
"77","55",10958408.6597633
"78","55",25574963.2707615
"79","75",306399053.299524
"80","95",29233350.4726849
"81","75",3655640.14221954
"82","85",7311280.1360321
"83","75",21933839.4117737
"84","65",47525733.7939625
"85","75",3657057.93988609
"86","75",3657057.93988228
"87","75",375400676.110739
"88","65",65805770.5794125
"89","65",3658475.23919487
"90","85",3658475.23919487
"91","55",25609657.806448
"92","75",18293459.6293392
"93","95",18293459.6293411
"94","95",3659892.0399704
"95","105",3659892.03996658
"96","85",3659892.03996658
"97","55",500032435.109535
"98","75",7321200.38201332
"99","75",36600085.2993755
"100","65",14644149.2883244
"101","55",3662724.14524651
"102","65",3662724.14524651
"103","105",3662724.14524651
"104","85",124384643.956327
"105","65",10988171.9366856
"106","75",18312537.2928505
"107","95",73227989.6478958
"108","105",7326863.59464073
"109","85",10989920.7563324
"110","75",10990669.7330608
"111","105",7328278.75162506
"112","95",3664139.44939423
"113","55",142537190.232384
"114","55",397915975.438894
"115","75",21980589.7856445
"116","95",40298869.2681198
"117","55",7329693.70371246
"118","75",14659387.1133099
"119","65",376452521.760248
"120","85",3665554.25431633
"121","85",14659468.3806343
"122","75",3665554.25431824
"123","75",25658878.3405609
"124","85",7332522.81415558
"125","85",40315261.1612434
"126","85",58639454.6135387
"127","75",3666968.55984116
"128","85",3666968.55984116
"129","65",3666968.55983734
"130","65",3666968.55983734
"131","85",3666968.55983734
"132","75",3666968.55983734
"133","85",3666968.55983543
"134","85",18338670.4916019
"135","75",3668382.36578369
"136","85",3668382.36578369
"137","85",3668382.36578369
"138","75",452520132.354834
"139","55",3668382.36578751
"140","85",3668382.36578751
"141","85",3668382.36578751
"142","75",120852526.963079
"143","105",3668382.36578751
"144","85",22010292.7556419
"145","95",51360921.1003513
"146","75",3671208.47827721
"147","55",7342416.81044769
"148","105",11013624.8503494
"149","75",7343829.26274872
"150","65",29367996.3771935
"151","85",25699946.7019634
"152","75",18359276.4492207
"153","105",3672620.78447151
"154","65",3672620.78447151
"155","85",3672620.7844696
"156","95",18359534.3607216
"157","155",11017861.8531475
"158","55",7346653.37487221
"159","95",223507401.772713
"160","65",18362025.0134335
"161","95",7346653.3748703
"162","65",3674032.59039688
"163","95",3674032.59039879
"164","75",3674032.59039879
"165","65",3674032.59039879
"166","105",3674032.59039879
"167","85",3674032.59039879
"168","115",3674032.59039879
"169","125",3674032.59039879
"170","165",3674032.59039879
"171","115",3674032.59039879
"172","85",33062055.9575329
"173","75",256807029.680641
"174","85",11023843.2662354
"175","95",106483536.025354
"176","105",11023843.2662354
"177","75",3675443.89587784
"178","55",3675443.89587784
"179","75",3675443.89587784
"180","85",884651561.804007
"181","105",11026331.1056671
"182","115",7350887.64627457
"183","135",3675443.89587975
"184","105",3675443.89587975
"185","175",3675443.89587975
"186","115",3675443.89587975
"187","65",7350887.64626694
"188","115",7350887.64627457
"189","95",3675443.89587975
"190","155",7350887.64627457
"191","85",3675443.89587975
"192","55",223889895.722462
"193","85",22054480.460968
"194","85",7352298.59663391
"195","95",51444920.9311485
"196","105",7352298.59663391
"197","85",11028076.8277798
"198","75",11030563.521122
"199","75",3676854.70075417
"200","75",3676854.70075226
"201","105",3676854.70075417
"202","115",7353709.25621414
"203","125",3676854.70075417
"204","105",11028818.6713409
"205","95",3676854.70075417
"206","105",3676854.70075417
"207","125",3676854.70075417
"208","115",3676854.70075417
"209","125",3676854.70075417
"210","115",3676854.70075417
"211","125",3676854.70075417
"212","185",3676854.70075417
"213","165",3676854.70075417
"214","95",3676854.70075417
