fid,DN,area
"1","35",119402080.402216
"2","35",3621463.94639206
"3","35",3621463.94639397
"4","35",3622893.65208244
"5","35",3627179.80355072
"6","55",3637163.5017662
"7","55",7280022.90223694
"8","25",14565737.6734924
"9","25",3642857.56609154
"10","55",123725868.643173
"11","35",10930325.904974
"12","35",3644279.84108734
"13","35",3644279.84108734
"14","35",232968021.094889
"15","45",7291403.08877945
"16","25",14585648.7402802
"17","15",7294245.6515007
"18","15",29174562.140873
"19","5",3648543.68470001
"20","15",3648543.6846981
"21","5",3648543.6846981
"22","25",3648543.68470001
"23","25",142184900.015923
"24","25",7298507.65620804
"25","35",14596921.151392
"26","25",3649963.97150993
"27","25",3649963.97151184
"28","25",7299927.79380035
"29","35",47436555.6487617
"30","15",36497035.5182095
"31","25",87520982.4979725
"32","25",7302767.37269592
"33","15",21901294.9938507
"34","25",3651383.76085281
"35","35",1044618216.39203
"36","15",18256917.3618889
"37","15",43814850.5280628
"38","5",32865290.7420673
"39","15",14607949.6763535
"40","15",3652803.0525322
"41","35",7305605.95624924
"42","5",10958408.562355
"43","15",47455721.9365101
"44","25",3652803.05253029
"45","35",7305605.95624924
"46","35",3652803.0525322
"47","25",7305605.95624924
"48","15",18267696.1844463
"49","35",7307024.89891052
"50","15",7308443.54416275
"51","35",7308443.54416275
"52","35",25570554.4861641
"53","5",43842899.8071499
"54","25",10964415.9628944
"55","25",69401463.4432678
"56","15",3655640.14221954
"57","25",25584802.5621643
"58","35",58451605.1085434
"59","15",14622559.0848923
"60","15",7311280.13603592
"61","35",3655640.14222145
"62","35",3655640.14222145
"63","35",299083825.356115
"64","15",32881228.3543587
"65","15",25593155.5611019
"66","35",29254357.3440819
"67","15",3657057.93988609
"68","35",18279285.4374866
"69","45",3657057.93988228
"70","35",3657057.93988419
"71","35",3657057.93988228
"72","25",3657057.93988419
"73","25",7315533.17908096
"74","35",10972923.5438824
"75","35",7315533.17907906
"76","15",14631485.3461914
"77","5",43903410.5772209
"78","15",3658475.23919487
"79","15",3658475.23919487
"80","35",3658475.23919678
"81","35",14633899.4769211
"82","25",3658475.23919487
"83","35",51178617.8118763
"84","35",14636734.2625618
"85","15",14639566.6820679
"86","45",14636819.8835983
"87","25",7319783.93215942
"88","25",3659892.0399704
"89","25",7319783.93215942
"90","35",3659892.0399704
"91","25",3659892.0399704
"92","15",117017827.951399
"93","25",7319783.93215942
"94","35",14641982.4774666
"95","25",7322616.5365181
"96","35",3661308.34204674
"97","25",3661308.34204674
"98","35",7322616.5365181
"99","35",40256644.3517284
"100","25",3661308.34204483
"101","25",10983924.4358406
"102","25",69444016.9349327
"103","35",18299457.7063408
"104","25",25612155.7884426
"105","15",10985673.6982136
"106","25",7324032.48729134
"107","35",10985673.6982117
"108","25",3662724.14524651
"109","15",3662724.14524651
"110","25",3662724.14524651
"111","35",3662724.14524651
"112","35",3662724.1452446
"113","25",14650895.1073303
"114","35",3662724.14524651
"115","45",7325448.14312744
"116","15",36617244.7102051
"117","15",3664139.44939423
"118","15",32958518.344862
"119","35",3664139.44939423
"120","25",7328278.75162888
"121","25",3664139.44939423
"122","25",3664139.44939423
"123","25",14654142.4133358
"124","25",32962014.9287224
"125","25",43963341.8813248
"126","25",10992417.8489552
"127","15",7329693.70370865
"128","35",7329693.70371246
"129","25",7329693.70371246
"130","15",58584089.7256832
"131","25",10994914.500103
"132","15",3665554.25431633
"133","25",7331108.36168289
"134","35",3665554.25431633
"135","45",7331108.36167526
"136","35",3665554.25431824
"137","25",3665554.25431824
"138","15",3666968.55983734
"139","25",3666968.55984116
"140","35",3666968.55984116
"141","15",7333936.97293854
"142","25",7333936.97293472
"143","25",3666968.55983543
"144","35",3666968.55983734
"145","45",29318772.2293739
"146","35",25659945.9829826
"147","25",3666968.55983543
"148","35",3666968.55983734
"149","45",3666968.55983734
"150","25",3666968.55983543
"151","35",36654457.905653
"152","35",87955641.2226944
"153","35",32985739.3801765
"154","45",29326925.3984032
"155","25",40336062.2856026
"156","15",3668382.36578369
"157","45",18338082.6701241
"158","35",3668382.36578369
"159","25",11003399.5402145
"160","25",7336764.58504486
"161","45",3668382.36578751
"162","35",11005146.5112114
"163","35",3668382.36578751
"164","25",11005146.5112114
"165","25",3668382.36578751
"166","45",3668382.36578751
"167","35",7336764.58504105
"168","25",3668382.36578751
"169","25",3668382.36578751
"170","35",3668382.36578751
"171","25",3668382.36578751
"172","35",18345561.0831718
"173","5",14676355.7827034
"174","35",106276654.637232
"175","15",3669795.67199898
"176","15",3669795.67199898
"177","25",3669795.67199898
"178","25",18348975.4333954
"179","25",29342815.5697975
"180","25",11009386.4306831
"181","25",3669795.67199898
"182","35",3669795.67199898
"183","25",3669795.67199898
"184","25",3669795.67199898
"185","5",3669795.67199898
"186","45",3669795.67199898
"187","15",33023919.1907711
"188","5",402485240.932234
"189","25",40366797.1212196
"190","35",7341004.15027809
"191","25",11011133.573473
"192","35",11011133.5734711
"193","15",3671208.47827911
"194","25",3671208.47827911
"195","35",3671208.47827721
"196","55",11011878.5849094
"197","25",3671208.47827721
"198","15",7342416.81044388
"199","25",3671208.47827911
"200","25",3671208.47827721
"201","35",3671208.47827911
"202","15",3671208.47827721
"203","35",3671208.47827721
"204","25",3671208.47827721
"205","15",3671208.47827911
"206","35",3671208.47827721
"207","65",7342416.81044388
"208","65",3671208.47827911
"209","35",190591685.520206
"210","15",22027249.7850971
"211","15",238266933.533939
"212","25",7343829.26274872
"213","45",25696968.2401371
"214","25",11016115.8576622
"215","25",3672620.78447151
"216","25",3672620.78447151
"217","35",545852801.405949
"218","25",3672620.78447151
"219","15",14688068.1170559
"220","35",3672620.78447151
"221","35",22030969.0455894
"222","35",3672620.7844696
"223","45",3672620.78447151
"224","35",3672620.7844696
"225","25",3672620.7844696
"226","25",80718727.9181156
"227","35",3672620.7844696
"228","25",3672620.78447151
"229","15",44049514.3696117
"230","35",47720285.1323376
"231","45",14690482.6376171
"232","35",25708344.4073906
"233","35",11019608.2029877
"234","15",14690482.637619
"235","5",58758806.5703468
"236","15",3674032.59039879
"237","25",3674032.59039688
"238","35",3674032.59039879
"239","25",7348065.03508759
"240","15",3674032.59039879
"241","15",3674032.59039879
"242","35",3674032.59039879
"243","35",11020351.630003
"244","15",3674032.59039879
"245","55",11020351.6300011
"246","35",3674032.59039879
"247","25",3674032.59039879
"248","25",40385445.3477154
"249","25",3674032.59039879
"250","35",3674032.59039879
"251","45",3674032.59039879
"252","25",3674032.59039879
"253","35",14696129.8611469
"254","25",40416468.4684124
"255","45",14697206.6858711
"256","25",11023843.2662392
"257","15",51414528.0578175
"258","35",7349476.48627853
"259","45",11023843.2662449
"260","25",3675443.89587784
"261","35",3675443.89587784
"262","45",3675443.89587975
"263","35",3675443.89587784
"264","35",3675443.89587784
"265","55",3675443.89587784
"266","25",3675443.89587975
"267","35",3675443.89587975
"268","35",3675443.89587975
"269","35",7350887.64626694
"270","45",3675443.89587975
"271","25",3675443.89587975
"272","55",3675443.89587975
"273","25",3675443.89587975
"274","35",3675443.89587975
"275","35",11024585.9014053
"276","15",73457310.6052818
"277","25",51422329.9718781
"278","55",55108997.9156513
"279","35",25726880.4145966
"280","15",22058493.7117672
"281","25",47764238.903616
"282","25",14704189.2487278
"283","35",7352298.59663391
"284","35",7352298.59663391
"285","55",7352298.59663391
"286","25",7352298.59663391
"287","15",18378295.1576195
"288","35",18380782.205843
"289","35",14704523.7294865
"290","25",3676854.70075417
"291","35",3676854.70075226
"292","25",7353709.25621796
"293","15",3676854.70075226
"294","35",3676854.70075417
"295","35",3676854.70075226
"296","15",3676854.70075226
"297","35",7353709.25621796
"298","25",3676854.70075417
"299","15",3676854.70075417
"300","35",11028818.6713409
"301","25",3676854.70075417
"302","35",3676854.70075417
"303","75",3676854.70075417
"304","45",3676854.70075417
"305","25",3676854.70075417
"306","25",95544030.1273117
"307","35",11032308.8871002
"308","45",11032308.8871002
"309","35",7355119.70558739
"310","5",25737646.8417854
"311","25",7356529.86460114
"312","25",3678265.00483322
"313","25",3678265.00483322
"314","25",11033049.9393005
"315","25",3678265.00483322
"316","35",3678265.00483322
"317","25",3678265.00483322
"318","15",3678265.00483322
