fid,DN,area
"1","115",14465823.7958717
"2","105",3617171.86620712
"3","115",10857568.1999722
"4","115",28951565.9162731
"5","105",25334840.8125973
"6","115",7242927.73951721
"7","125",25341238.2615376
"8","85",3621463.94639397
"9","75",3621463.94639206
"10","125",3622893.65208244
"11","115",14491573.0776443
"12","95",76043422.6164932
"13","115",3624322.86362457
"14","105",25363891.0808201
"15","75",18125016.184763
"16","95",3625751.58083725
"17","75",10877254.1318474
"18","65",3625751.58083725
"19","65",3627179.80355072
"20","75",3627179.80355072
"21","75",79762679.6518974
"22","205",3630034.76477432
"23","135",3630034.76477814
"24","155",7261496.26770782
"25","205",3631461.50293159
"26","205",14522992.2314949
"27","145",3631461.50292969
"28","215",3632887.74589157
"29","205",3632887.74589348
"30","195",3632887.74589348
"31","115",65367716.2937698
"32","85",14534402.1755714
"33","115",3634313.49345589
"34","165",25431637.4918766
"35","115",10902939.9848232
"36","205",10904695.758379
"37","245",3635738.74547768
"38","265",3635738.74547768
"39","115",3635738.74547768
"40","85",203247890.078897
"41","175",47245078.3316345
"42","245",3637163.50176811
"43","235",7274326.85247803
"44","245",3637163.5017662
"45","215",3637163.5017662
"46","165",3637163.50176811
"47","215",7275751.26391029
"48","235",10914008.3954449
"49","255",10913245.0943794
"50","225",7275751.26391029
"51","245",3638587.76214218
"52","95",272589141.928337
"53","205",3640011.52644157
"54","225",3640011.52644157
"55","235",3640011.52644157
"56","205",10921788.4779758
"57","205",54572453.7511024
"58","205",7282869.43852234
"59","205",3641434.79448318
"60","75",192844637.030727
"61","215",18210580.8298817
"62","225",18211011.5587368
"63","205",3642857.56608582
"64","215",10926818.844717
"65","225",58261426.4850998
"66","235",43695790.6400738
"67","195",10930325.9049664
"68","205",14574274.51408
"69","235",18215378.3768635
"70","195",7288559.53214645
"71","185",3644279.84109306
"72","225",3644279.84108925
"73","225",3644279.84108925
"74","185",3644279.84109306
"75","45",3644279.84108734
"76","105",156537929.720045
"77","175",36442228.6073418
"78","135",3645701.61930656
"79","115",3645701.61930656
"80","225",7292824.51987267
"81","215",21873214.9235821
"82","125",10939615.8889961
"83","125",3647122.90056801
"84","195",243888832.638174
"85","225",21878472.5655365
"86","135",3648543.6846962
"87","45",7297087.2199707
"88","115",215049546.895445
"89","125",21883728.9608135
"90","225",10947382.8723507
"91","215",7298507.65620804
"92","205",32836465.2299271
"93","215",32827367.2475605
"94","205",3649963.97150993
"95","215",3649963.97151184
"96","195",14599854.3938599
"97","185",3649963.97151184
"98","75",3649963.97151184
"99","165",76512417.5636997
"100","135",14600943.1988125
"101","195",14602695.1664944
"102","155",134748640.072147
"103","115",123784985.663702
"104","205",10954150.6864967
"105","175",10952399.5141144
"106","135",269547245.363983
"107","215",40139657.2024498
"108","105",280420710.691477
"109","195",7304186.8133831
"110","185",21913795.3424263
"111","95",240292486.276106
"112","195",3652803.05253029
"113","195",7305605.95624924
"114","185",3652803.0525322
"115","195",3652803.05253029
"116","155",3652803.05253029
"117","135",3652803.0525322
"118","95",3652803.0525322
"119","85",585047557.761139
"120","65",3652803.0525322
"121","135",54755463.1464272
"122","195",43814515.113905
"123","65",819431699.689657
"124","185",3654221.84638023
"125","195",3654221.84638023
"126","205",7308443.54416275
"127","95",3654221.84637833
"128","75",3654221.84638023
"129","185",305942974.069958
"130","205",200681948.049057
"131","195",14615800.0727615
"132","175",3655640.14222145
"133","195",10965169.7059021
"134","185",3655640.14221954
"135","195",3655640.14222145
"136","215",3655640.14222145
"137","165",3655640.14222145
"138","75",3655640.14222145
"139","185",29239446.661211
"140","135",7312698.08210564
"141","135",32900758.004673
"142","45",14625307.4726295
"143","195",7314115.73157883
"144","185",32893667.2144012
"145","175",14625395.8676109
"146","185",3657057.93988609
"147","195",3657057.93988609
"148","205",3657057.93988419
"149","215",3657057.93988609
"150","225",3657057.93988609
"151","75",3657057.93988419
"152","55",3657057.93988419
"153","55",3657057.93988228
"154","85",3657057.93988419
"155","55",7315533.17907906
"156","105",7315533.17907906
"157","165",3658475.23919487
"158","195",58463025.2646828
"159","205",10975425.1256447
"160","195",7316950.33040237
"161","185",3658475.23919487
"162","195",3658475.23919487
"163","205",3658475.23919487
"164","225",7316950.33040619
"165","85",3658475.23919487
"166","75",3658475.23919487
