fid,DN,area
"1","15",3618603.05328369
"2","15",3621463.94639587
"3","15",3622893.65208244
"4","15",3622893.65208435
"5","15",7247216.51570511
"6","15",3627179.80355072
"7","15",3628607.5315876
"8","35",3628607.5315876
"9","15",3630034.76478195
"10","15",3630034.76478195
"11","15",3630034.76478195
"12","15",7261496.26771164
"13","15",3631461.50293159
"14","15",3631461.50292969
"15","35",7264349.24881744
"16","15",3632887.74588776
"17","25",3632887.74588776
"18","35",3632887.74588585
"19","15",3634313.49345589
"20","5",3634313.4934597
"21","15",3634313.49346161
"22","15",3635738.74547768
"23","5",3635738.74547768
"24","15",3635738.74547768
"25","15",3635738.74547577
"26","15",3635738.74547577
"27","25",3635738.74547577
"28","35",3635738.74547768
"29","15",3637163.5017643
"30","5",3637163.5017643
"31","5",3637163.5017643
"32","25",7274326.85247803
"33","35",3637163.5017643
"34","35",3637163.5017643
"35","35",3637163.5017643
"36","5",10914008.3954487
"37","15",3638587.76214218
"38","5",3638587.76214409
"39","25",3638587.76214409
"40","15",7278599.28858376
"41","15",3640011.52644157
"42","5",3640011.52644348
"43","15",3640011.52644348
"44","25",3640011.52644348
"45","25",3640011.52644348
"46","35",7280022.90222931
"47","25",3640011.52644157
"48","5",10922550.1837082
"49","5",7281446.32092476
"50","15",3641434.79448128
"51","5",3641434.79448128
"52","15",3641434.79448318
"53","35",3641434.79448128
"54","5",7285714.98194122
"55","25",3642857.56609344
"56","15",3644279.84109306
"57","5",3644279.84108734
"58","15",3644279.84108925
"59","5",3644279.84108734
"60","5",3644279.84108925
"61","5",3645701.61930466
"62","15",3645701.61930466
"63","5",3645701.61930466
"64","15",3645701.61930466
"65","45",3645701.61930466
"66","35",3645701.61930466
"67","5",3647122.9005661
"68","5",3647122.90056992
"69","15",3647122.9005661
"70","35",3647122.9005661
"71","35",3647122.9005661
"72","5",3648543.68470001
"73","15",3648543.6846962
"74","45",3648543.6846962
"75","35",3648543.68470001
"76","25",3648543.68470001
"77","15",3649963.97151184
"78","15",3649963.97150993
"79","15",3649963.97151184
"80","5",3649963.97151184
"81","15",3649963.97151184
"82","5",3651383.76085281
"83","15",3651383.76085091
"84","5",3651383.76085091
"85","15",7304186.8133831
"86","5",3652803.05253029
"87","35",3652803.0525322
"88","25",3654221.84637642
"89","15",3654221.84637642
"90","25",3654221.84637642
"91","15",3654221.84637642
"92","15",3654221.84637833
"93","15",3654221.84637833
"94","15",7311280.13603973
"95","15",3655640.14222336
"96","55",3655640.14222336
"97","15",3657057.93988609
"98","15",3657057.93988609
"99","15",3657057.93988419
"100","15",3657057.93988419
"101","5",3657057.93988419
"102","5",3657057.93988419
"103","15",7315533.17907715
"104","15",3658475.23918915
"105","15",3658475.23919487
"106","15",3659892.03997421
"107","15",7319783.93216705
"108","15",3659892.03997231
"109","55",3659892.03996849
"110","15",3661308.34204674
"111","15",3661308.34204483
"112","15",3661308.34204483
"113","55",3661308.34204483
"114","35",3661308.34204483
"115","35",3661308.34204483
"116","35",3662724.1452446
"117","45",3664139.44939423
"118","15",3664139.44939613
"119","15",3664139.44939613
"120","35",3664139.44939423
"121","45",3665554.25431633
"122","15",3665554.25431633
"123","15",3665554.25431633
"124","15",3665554.25431633
"125","5",3665554.25431824
"126","15",3665554.25431824
"127","15",3666968.55983543
"128","15",3666968.55983925
"129","15",7333936.97293091
"130","5",3666968.55983543
"131","35",3666968.55983543
"132","45",3668382.3657856
"133","15",3668382.3657856
"134","15",7336764.58504486
"135","15",3668382.36578941
"136","15",7338178.03778839
"137","15",3669795.67199898
"138","15",3669795.67199898
"139","15",3669795.67199898
"140","15",3669795.67199898
"141","55",3671208.47827911
"142","15",3671208.4782753
"143","45",3672620.78447533
"144","15",3672620.78447342
"145","15",3672620.78447533
"146","15",3672620.78447533
"147","15",3672620.78447342
"148","15",3672620.78447533
"149","15",11017861.8531513
